program_slug,program_name,name,number,rubric,requirement,component
accounting-bba,Accounting BBA,Cases in Managerial Finance,4301,FIN,Group A,Financial Reporting
accounting-bba,Accounting BBA,International Finance,4303,FIN,Group A,Financial Reporting
accounting-bba,Accounting BBA,Investments,4305,FIN,Group A,Financial Reporting
accounting-bba,Accounting BBA,Governmental and Not-for-Profit Accounting,3305,ACC,Group B,Financial Reporting
accounting-bba,Accounting BBA,Oil and Gas Accounting,3307,ACC,Group B,Financial Reporting
accounting-bba,Accounting BBA,International Accounting,3323,ACC,Group B,Financial Reporting
accounting-bba,Accounting BBA,Financial Reporting Theory,4321,ACC,Group B,Financial Reporting
accounting-bba,Accounting BBA,Treasury Risk Management,3306,FIN,Group A,Auditing and Taxation
accounting-bba,Accounting BBA,Cases in Managerial Finance,4301,FIN,Group A,Auditing and Taxation
accounting-bba,Accounting BBA,International Finance,4303,FIN,Group A,Auditing and Taxation
accounting-bba,Accounting BBA,Investments,4305,FIN,Group A,Auditing and Taxation
accounting-bba,Accounting BBA,Governmental and Not-for-Profit Accounting,3305,ACC,Group B,Auditing and Taxation
accounting-bba,Accounting BBA,Computer Control and Audit,4309,ACC,Group B,Auditing and Taxation
accounting-bba,Accounting BBA,Forensic Accounting,4310,ACC,Group B,Auditing and Taxation
accounting-bba,Accounting BBA,"Estate, Gifts and Trust Taxation",4322,ACC,Group B,Auditing and Taxation
accounting-bba,Accounting BBA,Tax Research Methodology,4325,ACC,Group B,Auditing and Taxation
accounting-bba,Accounting BBA,Managerial Economics,3302,ECO,Group A,Cost Management and Decision Analysis
accounting-bba,Accounting BBA,Economics of Industrial Organization,3303,ECO,Group A,Cost Management and Decision Analysis
accounting-bba,Accounting BBA,International Economics,4303,ECO,Group A,Cost Management and Decision Analysis
accounting-bba,Accounting BBA,Health Economics,4307,ECO,Group A,Cost Management and Decision Analysis
accounting-bba,Accounting BBA,Cases in Managerial Finance,4301,FIN,Group A,Cost Management and Decision Analysis
accounting-bba,Accounting BBA,Investments,4305,FIN,Group A,Cost Management and Decision Analysis
accounting-bba,Accounting BBA,Leading People and Teams,4308,MGT,Group A,Cost Management and Decision Analysis
accounting-bba,Accounting BBA,International Accounting,3323,ACC,Group B,Cost Management and Decision Analysis
accounting-bba,Accounting BBA,Accounting Analysis for Decision Making,4307,ACC,Group B,Cost Management and Decision Analysis
accounting-bba,Accounting BBA,Financial Reporting Theory,4321,ACC,Group B,Cost Management and Decision Analysis
accounting-bba,Accounting BBA,Systems Analysis and Design,3301,MIS,Group A,Accounting Information Systems
accounting-bba,Accounting BBA,Business Productivity Software Tools,3304,MIS,Group A,Accounting Information Systems
accounting-bba,Accounting BBA,Accounting Analysis for Decision Making,4307,ACC,Group B,Accounting Information Systems
accounting-bba,Accounting BBA,Computer Control and Audit,4309,ACC,Group B,Accounting Information Systems
accounting-bba,Accounting BBA,Financial Reporting Theory,4321,ACC,Group B,Accounting Information Systems
applied-administration-baas,Applied Administration BAAS,Professional Ethics,3301,AA,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-baas,Applied Administration BAAS,Administrative Communication,3302,AA,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-baas,Applied Administration BAAS,Business and Technical Report Writing,3302,ENG,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-baas,Applied Administration BAAS,Information Technology Administration,3303,AA,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-baas,Applied Administration BAAS,Budgeting for Administrators,3304,AA,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-baas,Applied Administration BAAS,Human Resource Administration,3305,AA,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-baas,Applied Administration BAAS,Decision Making Skills for Administrators,3306,AA,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-baas,Applied Administration BAAS,Administrative Leadership,3307,AA,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-baas,Applied Administration BAAS,Negotiation and Mediation,3308,AA,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-baas,Applied Administration BAAS,Administering Organizational Change,3310,AA,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-baas,Applied Administration BAAS,Project Administration,4305,AA,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-baas,Applied Administration BAAS,Administering Budgets and Cost Centers,4301,AA,Prescribed Electives (9 hours),Prescribed Electives (9 hours)
applied-administration-baas,Applied Administration BAAS,Economics for Administrators,4303,AA,Prescribed Electives (9 hours),Prescribed Electives (9 hours)
applied-administration-baas,Applied Administration BAAS,Administration of Technological Resources,4306,AA,Prescribed Electives (9 hours),Prescribed Electives (9 hours)
applied-administration-baas,Applied Administration BAAS,Network Security Administration,4307,AA,Prescribed Electives (9 hours),Prescribed Electives (9 hours)
applied-administration-baas,Applied Administration BAAS,Global Economic Environment,4308,AA,Prescribed Electives (9 hours),Prescribed Electives (9 hours)
applied-administration-baas,Applied Administration BAAS,Field Experience in Applied Administration,4380,AA,Prescribed Electives (9 hours),Prescribed Electives (9 hours)
applied-administration-baas,Applied Administration BAAS,Selected Topics in Applied Administration,4390,AA,Prescribed Electives (9 hours),Prescribed Electives (9 hours)
applied-administration-baas,Applied Administration BAAS,Directed Study in Psychology,4399,PSY,Prescribed Electives (9 hours),Prescribed Electives (9 hours)
applied-administration-baas,Applied Administration BAAS,Industrial/Organizational Psychology,3301,PSY,Prescribed Electives (9 hours),Prescribed Electives (9 hours)
applied-administration-baas,Applied Administration BAAS,Non-Profit Organizations in American Society,4319,POLS,Prescribed Electives (9 hours),Prescribed Electives (9 hours)
applied-administration-fire-protection-engineering-technology-concentration-baas,Applied Administration Fire Protection Engineering Technology Concentration BAAS,Professional Ethics,3301,AA,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-fire-protection-engineering-technology-concentration-baas,Applied Administration Fire Protection Engineering Technology Concentration BAAS,Administrative Communication,3302,AA,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-fire-protection-engineering-technology-concentration-baas,Applied Administration Fire Protection Engineering Technology Concentration BAAS,Business and Technical Report Writing,3302,ENG,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-fire-protection-engineering-technology-concentration-baas,Applied Administration Fire Protection Engineering Technology Concentration BAAS,Information Technology Administration,3303,AA,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-fire-protection-engineering-technology-concentration-baas,Applied Administration Fire Protection Engineering Technology Concentration BAAS,Budgeting for Administrators,3304,AA,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-fire-protection-engineering-technology-concentration-baas,Applied Administration Fire Protection Engineering Technology Concentration BAAS,Human Resource Administration,3305,AA,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-fire-protection-engineering-technology-concentration-baas,Applied Administration Fire Protection Engineering Technology Concentration BAAS,Decision Making Skills for Administrators,3306,AA,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-fire-protection-engineering-technology-concentration-baas,Applied Administration Fire Protection Engineering Technology Concentration BAAS,Administrative Leadership,3307,AA,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-fire-protection-engineering-technology-concentration-baas,Applied Administration Fire Protection Engineering Technology Concentration BAAS,Negotiation and Mediation,3308,AA,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-fire-protection-engineering-technology-concentration-baas,Applied Administration Fire Protection Engineering Technology Concentration BAAS,Administering Organizational Change,3310,AA,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-fire-protection-engineering-technology-concentration-baas,Applied Administration Fire Protection Engineering Technology Concentration BAAS,Project Administration,4305,AA,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-fire-protection-engineering-technology-concentration-baas,Applied Administration Fire Protection Engineering Technology Concentration BAAS,Administering Budgets and Cost Centers,4301,AA,Prescribed Electives (9 hours),Prescribed Electives (9 hours)
applied-administration-fire-protection-engineering-technology-concentration-baas,Applied Administration Fire Protection Engineering Technology Concentration BAAS,Economics for Administrators,4303,AA,Prescribed Electives (9 hours),Prescribed Electives (9 hours)
applied-administration-fire-protection-engineering-technology-concentration-baas,Applied Administration Fire Protection Engineering Technology Concentration BAAS,Administration of Technological Resources,4306,AA,Prescribed Electives (9 hours),Prescribed Electives (9 hours)
applied-administration-fire-protection-engineering-technology-concentration-baas,Applied Administration Fire Protection Engineering Technology Concentration BAAS,Network Security Administration,4307,AA,Prescribed Electives (9 hours),Prescribed Electives (9 hours)
applied-administration-fire-protection-engineering-technology-concentration-baas,Applied Administration Fire Protection Engineering Technology Concentration BAAS,Global Economic Environment,4308,AA,Prescribed Electives (9 hours),Prescribed Electives (9 hours)
applied-administration-fire-protection-engineering-technology-concentration-baas,Applied Administration Fire Protection Engineering Technology Concentration BAAS,Field Experience in Applied Administration,4380,AA,Prescribed Electives (9 hours),Prescribed Electives (9 hours)
applied-administration-fire-protection-engineering-technology-concentration-baas,Applied Administration Fire Protection Engineering Technology Concentration BAAS,Selected Topics in Applied Administration,4390,AA,Prescribed Electives (9 hours),Prescribed Electives (9 hours)
applied-administration-fire-protection-engineering-technology-concentration-baas,Applied Administration Fire Protection Engineering Technology Concentration BAAS,Directed Study in Psychology,4399,PSY,Prescribed Electives (9 hours),Prescribed Electives (9 hours)
applied-administration-fire-protection-engineering-technology-concentration-baas,Applied Administration Fire Protection Engineering Technology Concentration BAAS,Industrial/Organizational Psychology,3301,PSY,Prescribed Electives (9 hours),Prescribed Electives (9 hours)
applied-administration-fire-protection-engineering-technology-concentration-baas,Applied Administration Fire Protection Engineering Technology Concentration BAAS,Non-Profit Organizations in American Society,4319,POLS,Prescribed Electives (9 hours),Prescribed Electives (9 hours)
applied-administration-fire-protection-engineering-technology-concentration-baas,Applied Administration Fire Protection Engineering Technology Concentration BAAS,Professional Ethics,3301,AA,Applied Administration Major Requirements for All Engineering Technology Concentrations (24 hours),Applied Administration Major Requirements for All Engineering Technology Concentrations (24 hours)
applied-administration-fire-protection-engineering-technology-concentration-baas,Applied Administration Fire Protection Engineering Technology Concentration BAAS,Budgeting for Administrators,3304,AA,Applied Administration Major Requirements for All Engineering Technology Concentrations (24 hours),Applied Administration Major Requirements for All Engineering Technology Concentrations (24 hours)
applied-administration-fire-protection-engineering-technology-concentration-baas,Applied Administration Fire Protection Engineering Technology Concentration BAAS,Human Resource Administration,3305,AA,Applied Administration Major Requirements for All Engineering Technology Concentrations (24 hours),Applied Administration Major Requirements for All Engineering Technology Concentrations (24 hours)
applied-administration-fire-protection-engineering-technology-concentration-baas,Applied Administration Fire Protection Engineering Technology Concentration BAAS,Decision Making Skills for Administrators,3306,AA,Applied Administration Major Requirements for All Engineering Technology Concentrations (24 hours),Applied Administration Major Requirements for All Engineering Technology Concentrations (24 hours)
applied-administration-fire-protection-engineering-technology-concentration-baas,Applied Administration Fire Protection Engineering Technology Concentration BAAS,Administrative Leadership,3307,AA,Applied Administration Major Requirements for All Engineering Technology Concentrations (24 hours),Applied Administration Major Requirements for All Engineering Technology Concentrations (24 hours)
applied-administration-fire-protection-engineering-technology-concentration-baas,Applied Administration Fire Protection Engineering Technology Concentration BAAS,Negotiation and Mediation,3308,AA,Applied Administration Major Requirements for All Engineering Technology Concentrations (24 hours),Applied Administration Major Requirements for All Engineering Technology Concentrations (24 hours)
applied-administration-fire-protection-engineering-technology-concentration-baas,Applied Administration Fire Protection Engineering Technology Concentration BAAS,Administering Organizational Change,3310,AA,Applied Administration Major Requirements for All Engineering Technology Concentrations (24 hours),Applied Administration Major Requirements for All Engineering Technology Concentrations (24 hours)
applied-administration-fire-protection-engineering-technology-concentration-baas,Applied Administration Fire Protection Engineering Technology Concentration BAAS,Business and Technical Report Writing,3302,ENG,Applied Administration Major Requirements for All Engineering Technology Concentrations (24 hours),Applied Administration Major Requirements for All Engineering Technology Concentrations (24 hours)
applied-administration-fire-protection-engineering-technology-concentration-baas,Applied Administration Fire Protection Engineering Technology Concentration BAAS,Principles of Fire Protection Chemistry and Physics,3320,ENGR,Technical Core in Fire Protection Engineering Technology (12 hours),Fire Protection Engineering Technology Concentration
applied-administration-fire-protection-engineering-technology-concentration-baas,Applied Administration Fire Protection Engineering Technology Concentration BAAS,Human Factors in Fire and Safety,4370,ENGR,Technical Core in Fire Protection Engineering Technology (12 hours),Fire Protection Engineering Technology Concentration
applied-administration-fire-protection-engineering-technology-concentration-baas,Applied Administration Fire Protection Engineering Technology Concentration BAAS,Engineering Seminar,4323,ENGR,Technical Core in Fire Protection Engineering Technology (12 hours),Fire Protection Engineering Technology Concentration
applied-administration-fire-protection-engineering-technology-concentration-baas,Applied Administration Fire Protection Engineering Technology Concentration BAAS,Senior Project in Control and Instrumentation,4328,ENGR,Technical Core in Fire Protection Engineering Technology (12 hours),Fire Protection Engineering Technology Concentration
applied-administration-fire-protection-engineering-technology-concentration-baas,Applied Administration Fire Protection Engineering Technology Concentration BAAS,Introduction to Literary Translation,3346,ENG,Technical Electives in Fire Protections Engineering Technology Concentration (6 hours),Fire Protection Engineering Technology Concentration
applied-administration-fire-protection-engineering-technology-concentration-baas,Applied Administration Fire Protection Engineering Technology Concentration BAAS,Fire Protection for Power Plants,3365,ENGR,Technical Electives in Fire Protections Engineering Technology Concentration (6 hours),Fire Protection Engineering Technology Concentration
applied-administration-fire-protection-engineering-technology-concentration-baas,Applied Administration Fire Protection Engineering Technology Concentration BAAS,Fire Protection Law,3370,ENGR,Technical Electives in Fire Protections Engineering Technology Concentration (6 hours),Fire Protection Engineering Technology Concentration
applied-administration-fire-protection-engineering-technology-concentration-baas,Applied Administration Fire Protection Engineering Technology Concentration BAAS,Advanced Gender Studies,4350,ENG,Technical Electives in Fire Protections Engineering Technology Concentration (6 hours),Fire Protection Engineering Technology Concentration
applied-administration-manufacturing-and-process-engineering-technology-concentration-baas,Applied Administration Manufacturing And Process Engineering Technology Concentration BAAS,Professional Ethics,3301,AA,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-manufacturing-and-process-engineering-technology-concentration-baas,Applied Administration Manufacturing And Process Engineering Technology Concentration BAAS,Administrative Communication,3302,AA,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-manufacturing-and-process-engineering-technology-concentration-baas,Applied Administration Manufacturing And Process Engineering Technology Concentration BAAS,Business and Technical Report Writing,3302,ENG,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-manufacturing-and-process-engineering-technology-concentration-baas,Applied Administration Manufacturing And Process Engineering Technology Concentration BAAS,Information Technology Administration,3303,AA,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-manufacturing-and-process-engineering-technology-concentration-baas,Applied Administration Manufacturing And Process Engineering Technology Concentration BAAS,Budgeting for Administrators,3304,AA,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-manufacturing-and-process-engineering-technology-concentration-baas,Applied Administration Manufacturing And Process Engineering Technology Concentration BAAS,Human Resource Administration,3305,AA,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-manufacturing-and-process-engineering-technology-concentration-baas,Applied Administration Manufacturing And Process Engineering Technology Concentration BAAS,Decision Making Skills for Administrators,3306,AA,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-manufacturing-and-process-engineering-technology-concentration-baas,Applied Administration Manufacturing And Process Engineering Technology Concentration BAAS,Administrative Leadership,3307,AA,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-manufacturing-and-process-engineering-technology-concentration-baas,Applied Administration Manufacturing And Process Engineering Technology Concentration BAAS,Negotiation and Mediation,3308,AA,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-manufacturing-and-process-engineering-technology-concentration-baas,Applied Administration Manufacturing And Process Engineering Technology Concentration BAAS,Administering Organizational Change,3310,AA,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-manufacturing-and-process-engineering-technology-concentration-baas,Applied Administration Manufacturing And Process Engineering Technology Concentration BAAS,Project Administration,4305,AA,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-manufacturing-and-process-engineering-technology-concentration-baas,Applied Administration Manufacturing And Process Engineering Technology Concentration BAAS,Administering Budgets and Cost Centers,4301,AA,Prescribed Electives (9 hours),Prescribed Electives (9 hours)
applied-administration-manufacturing-and-process-engineering-technology-concentration-baas,Applied Administration Manufacturing And Process Engineering Technology Concentration BAAS,Economics for Administrators,4303,AA,Prescribed Electives (9 hours),Prescribed Electives (9 hours)
applied-administration-manufacturing-and-process-engineering-technology-concentration-baas,Applied Administration Manufacturing And Process Engineering Technology Concentration BAAS,Administration of Technological Resources,4306,AA,Prescribed Electives (9 hours),Prescribed Electives (9 hours)
applied-administration-manufacturing-and-process-engineering-technology-concentration-baas,Applied Administration Manufacturing And Process Engineering Technology Concentration BAAS,Network Security Administration,4307,AA,Prescribed Electives (9 hours),Prescribed Electives (9 hours)
applied-administration-manufacturing-and-process-engineering-technology-concentration-baas,Applied Administration Manufacturing And Process Engineering Technology Concentration BAAS,Global Economic Environment,4308,AA,Prescribed Electives (9 hours),Prescribed Electives (9 hours)
applied-administration-manufacturing-and-process-engineering-technology-concentration-baas,Applied Administration Manufacturing And Process Engineering Technology Concentration BAAS,Field Experience in Applied Administration,4380,AA,Prescribed Electives (9 hours),Prescribed Electives (9 hours)
applied-administration-manufacturing-and-process-engineering-technology-concentration-baas,Applied Administration Manufacturing And Process Engineering Technology Concentration BAAS,Selected Topics in Applied Administration,4390,AA,Prescribed Electives (9 hours),Prescribed Electives (9 hours)
applied-administration-manufacturing-and-process-engineering-technology-concentration-baas,Applied Administration Manufacturing And Process Engineering Technology Concentration BAAS,Directed Study in Psychology,4399,PSY,Prescribed Electives (9 hours),Prescribed Electives (9 hours)
applied-administration-manufacturing-and-process-engineering-technology-concentration-baas,Applied Administration Manufacturing And Process Engineering Technology Concentration BAAS,Industrial/Organizational Psychology,3301,PSY,Prescribed Electives (9 hours),Prescribed Electives (9 hours)
applied-administration-manufacturing-and-process-engineering-technology-concentration-baas,Applied Administration Manufacturing And Process Engineering Technology Concentration BAAS,Non-Profit Organizations in American Society,4319,POLS,Prescribed Electives (9 hours),Prescribed Electives (9 hours)
applied-administration-manufacturing-and-process-engineering-technology-concentration-baas,Applied Administration Manufacturing And Process Engineering Technology Concentration BAAS,Professional Ethics,3301,AA,Applied Administration Major Requirements for All Engineering Technology Concentrations (24 hours),Applied Administration Major Requirements for All Engineering Technology Concentrations (24 hours)
applied-administration-manufacturing-and-process-engineering-technology-concentration-baas,Applied Administration Manufacturing And Process Engineering Technology Concentration BAAS,Budgeting for Administrators,3304,AA,Applied Administration Major Requirements for All Engineering Technology Concentrations (24 hours),Applied Administration Major Requirements for All Engineering Technology Concentrations (24 hours)
applied-administration-manufacturing-and-process-engineering-technology-concentration-baas,Applied Administration Manufacturing And Process Engineering Technology Concentration BAAS,Human Resource Administration,3305,AA,Applied Administration Major Requirements for All Engineering Technology Concentrations (24 hours),Applied Administration Major Requirements for All Engineering Technology Concentrations (24 hours)
applied-administration-manufacturing-and-process-engineering-technology-concentration-baas,Applied Administration Manufacturing And Process Engineering Technology Concentration BAAS,Decision Making Skills for Administrators,3306,AA,Applied Administration Major Requirements for All Engineering Technology Concentrations (24 hours),Applied Administration Major Requirements for All Engineering Technology Concentrations (24 hours)
applied-administration-manufacturing-and-process-engineering-technology-concentration-baas,Applied Administration Manufacturing And Process Engineering Technology Concentration BAAS,Administrative Leadership,3307,AA,Applied Administration Major Requirements for All Engineering Technology Concentrations (24 hours),Applied Administration Major Requirements for All Engineering Technology Concentrations (24 hours)
applied-administration-manufacturing-and-process-engineering-technology-concentration-baas,Applied Administration Manufacturing And Process Engineering Technology Concentration BAAS,Negotiation and Mediation,3308,AA,Applied Administration Major Requirements for All Engineering Technology Concentrations (24 hours),Applied Administration Major Requirements for All Engineering Technology Concentrations (24 hours)
applied-administration-manufacturing-and-process-engineering-technology-concentration-baas,Applied Administration Manufacturing And Process Engineering Technology Concentration BAAS,Administering Organizational Change,3310,AA,Applied Administration Major Requirements for All Engineering Technology Concentrations (24 hours),Applied Administration Major Requirements for All Engineering Technology Concentrations (24 hours)
applied-administration-manufacturing-and-process-engineering-technology-concentration-baas,Applied Administration Manufacturing And Process Engineering Technology Concentration BAAS,Business and Technical Report Writing,3302,ENG,Applied Administration Major Requirements for All Engineering Technology Concentrations (24 hours),Applied Administration Major Requirements for All Engineering Technology Concentrations (24 hours)
applied-administration-manufacturing-and-process-engineering-technology-concentration-baas,Applied Administration Manufacturing And Process Engineering Technology Concentration BAAS,Process Modeling and Simulation,3410,ENGR,Technical Core in Manufacturing and Process Engineering Technology (12 hours),Manufacturing and Process Engineering Technology Concentration
applied-administration-manufacturing-and-process-engineering-technology-concentration-baas,Applied Administration Manufacturing And Process Engineering Technology Concentration BAAS,Process Design and Operation,4402,ENGR,Technical Core in Manufacturing and Process Engineering Technology (12 hours),Manufacturing and Process Engineering Technology Concentration
applied-administration-manufacturing-and-process-engineering-technology-concentration-baas,Applied Administration Manufacturing And Process Engineering Technology Concentration BAAS,Engineering Seminar,4323,ENGR,Technical Core in Manufacturing and Process Engineering Technology (12 hours),Manufacturing and Process Engineering Technology Concentration
applied-administration-manufacturing-and-process-engineering-technology-concentration-baas,Applied Administration Manufacturing And Process Engineering Technology Concentration BAAS,Senior Project in Control and Instrumentation,4328,ENGR,Technical Core in Manufacturing and Process Engineering Technology (12 hours),Manufacturing and Process Engineering Technology Concentration
applied-administration-manufacturing-and-process-engineering-technology-concentration-baas,Applied Administration Manufacturing And Process Engineering Technology Concentration BAAS,Engineering Economics,3302,ENGR,Technical Electives in Manufacturing and Process Engineering Technology (6 hours),Manufacturing and Process Engineering Technology Concentration
applied-administration-manufacturing-and-process-engineering-technology-concentration-baas,Applied Administration Manufacturing And Process Engineering Technology Concentration BAAS,Applied Thermodynamics and Heat Transfer,3307,ENGR,Technical Electives in Manufacturing and Process Engineering Technology (6 hours),Manufacturing and Process Engineering Technology Concentration
applied-administration-manufacturing-and-process-engineering-technology-concentration-baas,Applied Administration Manufacturing And Process Engineering Technology Concentration BAAS,Systems Safety Management,4330,ENGR,Technical Electives in Manufacturing and Process Engineering Technology (6 hours),Manufacturing and Process Engineering Technology Concentration
applied-administration-petroleum-engineering-technology-concentration-baas,Applied Administration Petroleum Engineering Technology Concentration BAAS,Professional Ethics,3301,AA,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-petroleum-engineering-technology-concentration-baas,Applied Administration Petroleum Engineering Technology Concentration BAAS,Administrative Communication,3302,AA,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-petroleum-engineering-technology-concentration-baas,Applied Administration Petroleum Engineering Technology Concentration BAAS,Business and Technical Report Writing,3302,ENG,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-petroleum-engineering-technology-concentration-baas,Applied Administration Petroleum Engineering Technology Concentration BAAS,Information Technology Administration,3303,AA,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-petroleum-engineering-technology-concentration-baas,Applied Administration Petroleum Engineering Technology Concentration BAAS,Budgeting for Administrators,3304,AA,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-petroleum-engineering-technology-concentration-baas,Applied Administration Petroleum Engineering Technology Concentration BAAS,Human Resource Administration,3305,AA,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-petroleum-engineering-technology-concentration-baas,Applied Administration Petroleum Engineering Technology Concentration BAAS,Decision Making Skills for Administrators,3306,AA,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
applied-administration-petroleum-engineering-technology-concentration-baas,Applied Administration Petroleum Engineering Technology Concentration BAAS,Administrative Leadership,3307,AA,Applied Administration Major Requirements (30 hours),Applied Administration Major Requirements (30 hours)
