filename|name|number|rubric|requirement|component
accounting-b-b-a.html| U.S. and Texas Constitution and Politics|1336|POLS|Additional UH Core Courses|Requirements
accounting-b-b-a.html| U.S. Government: Congress, President, and Courts|1337|POLS|Additional UH Core Courses|Requirements
accounting-b-b-a.html| Service and Manufacturing Operations|3301|SCM|Advanced-Level Business Required Courses|Requirements
accounting-b-b-a.html| Principles of Financial Management|3332|FINA|Advanced-Level Business Required Courses|Requirements
accounting-b-b-a.html| Introduction to Organizational Behavior and Management|3335|MANA|Advanced-Level Business Required Courses|Requirements
accounting-b-b-a.html| Introduction to Marketing|3336|MARK|Advanced-Level Business Required Courses|Requirements
accounting-b-b-a.html| Professional Selling|3337|MARK|Advanced-Level Business Required Courses|Requirements
accounting-b-b-a.html| Business and Professional Communication|3356|COMM|Advanced-Level Business Required Courses|Requirements
accounting-b-b-a.html| Introduction to Global Business|3354|INTB|Advanced-Level Business Required Courses|Requirements
accounting-b-b-a.html| Global Environment of Business|3355|INTB|Advanced-Level Business Required Courses|Requirements
accounting-b-b-a.html| Business Law and Ethics|4350|GENB|Advanced-Level Business Required Courses|Requirements
advertising-b-a.html| Media and Society|1301|COMM|Jack J. Valenti School Requirements (12 hours)|Requirements
advertising-b-a.html| Introduction to Communication Theory|1302|COMM|Jack J. Valenti School Requirements (12 hours)|Requirements
advertising-b-a.html| Communication Research Methods|2300|COMM|Jack J. Valenti School Requirements (12 hours)|Requirements
advertising-b-a.html| Communication Law & Ethics|4303|COMM|Jack J. Valenti School Requirements (12 hours)|Requirements
advertising-b-a.html| Writing for Print and Digital Media|2310|COMM|Advertising Requirements|Requirements
advertising-b-a.html| Principles of Integrated Communication|3360|COMM|Advertising Requirements|Requirements
advertising-b-a.html| Advertising Copywriting|3361|COMM|Advertising Requirements|Requirements
advertising-b-a.html| Media Planning & Placement|4360|COMM|Advertising Requirements|Requirements
advertising-b-a.html| Advertising Account Planning|4366|COMM|Advertising Requirements|Requirements
advertising-b-a.html| Advertising Campaign Competition|4361|COMM|Advertising Requirements|Requirements
advertising-b-a.html| Integrated Communication Campaigns|4363|COMM|Advertising Requirements|Requirements
advertising-b-a.html| Fundamentals of Public Speaking|1332|COMM|Required Electives: 9 hours (three courses) from:|Requirements
advertising-b-a.html| Fundamentals of Media Production|2320|COMM|Required Electives: 9 hours (three courses) from:|Requirements
advertising-b-a.html| Editing for Print and Digital Media|3311|COMM|Required Electives: 9 hours (three courses) from:|Requirements
advertising-b-a.html| Multimedia Production I|3323|COMM|Required Electives: 9 hours (three courses) from:|Requirements
advertising-b-a.html| Graphics Applications|3326|COMM|Required Electives: 9 hours (three courses) from:|Requirements
advertising-b-a.html| Desktop Publishing|3327|COMM|Required Electives: 9 hours (three courses) from:|Requirements
advertising-b-a.html| Effective Meeting Management|3332|COMM|Required Electives: 9 hours (three courses) from:|Requirements
advertising-b-a.html| Advanced Public Speaking|3339|COMM|Required Electives: 9 hours (three courses) from:|Requirements
advertising-b-a.html| Information & Communication Technologies I|3353|COMM|Required Electives: 9 hours (three courses) from:|Requirements
advertising-b-a.html| Business and Professional Communication|3356|COMM|Required Electives: 9 hours (three courses) from:|Requirements
advertising-b-a.html| Leadership Communication & Organizations|3358|COMM|Required Electives: 9 hours (three courses) from:|Requirements
advertising-b-a.html| Advertising Sales|3362|COMM|Required Electives: 9 hours (three courses) from:|Requirements
advertising-b-a.html| Global & Multicultural Advertising|3363|COMM|Required Electives: 9 hours (three courses) from:|Requirements
advertising-b-a.html| Principles of Public Relations|3368|COMM|Required Electives: 9 hours (three courses) from:|Requirements
advertising-b-a.html| Strategic Social Media|3374|COMM|Required Electives: 9 hours (three courses) from:|Requirements
advertising-b-a.html| Persuasion|4331|COMM|Required Electives: 9 hours (three courses) from:|Requirements
advertising-b-a.html| Information and Communication Technologies II|4353|COMM|Required Electives: 9 hours (three courses) from:|Requirements
advertising-b-a.html| Integrated Communication Campaigns|4363|COMM|Required Electives: 9 hours (three courses) from:|Requirements
advertising-b-a.html| Digital Public Relations and Advertising|4365|COMM|Required Electives: 9 hours (three courses) from:|Requirements
advertising-b-a.html| Public Relations Campaigns|4368|COMM|Required Electives: 9 hours (three courses) from:|Requirements
advertising-b-a.html| Advertising Portfolio|4369|COMM|Required Electives: 9 hours (three courses) from:|Requirements
advertising-b-a.html| Professional Internship|4392|COMM|Required Electives: 9 hours (three courses) from:|Requirements
advertising-b-a.html| Selected Topics Communication|4397|COMM|Required Electives: 9 hours (three courses) from:|Requirements
advertising-b-a.html| Independent Study|4398|COMM|Required Electives: 9 hours (three courses) from:|Requirements
advertising-b-a.html| Introduction to Marketing|3336|MARK|Required Electives: 9 hours (three courses) from:|Requirements
american-sign-language-interpreting-b-a.html| Intermediate American Sign Language I|2301|ASLI|The following 43 credits constitute the required courses for the major in ASLI:|General Requirements for the Bachelor of Arts in ASL Interpreter Program
american-sign-language-interpreting-b-a.html| Intermediate American Sign Language II|2302|ASLI|The following 43 credits constitute the required courses for the major in ASLI:|General Requirements for the Bachelor of Arts in ASL Interpreter Program
american-sign-language-interpreting-b-a.html| Introduction to American Sign Language Interpreting|2333|ASLI|The following 43 credits constitute the required courses for the major in ASLI:|General Requirements for the Bachelor of Arts in ASL Interpreter Program
american-sign-language-interpreting-b-a.html| Multiculturalism & Diversity in ASL Interpreting|2335|ASLI|The following 43 credits constitute the required courses for the major in ASLI:|General Requirements for the Bachelor of Arts in ASL Interpreter Program
american-sign-language-interpreting-b-a.html| Consecutive Interpreting and Translation|3330|ASLI|The following 43 credits constitute the required courses for the major in ASLI:|General Requirements for the Bachelor of Arts in ASL Interpreter Program
american-sign-language-interpreting-b-a.html| Interactive Interpreting I|3333|ASLI|The following 43 credits constitute the required courses for the major in ASLI:|General Requirements for the Bachelor of Arts in ASL Interpreter Program
american-sign-language-interpreting-b-a.html| Interactive Interpreting II|3334|ASLI|The following 43 credits constitute the required courses for the major in ASLI:|General Requirements for the Bachelor of Arts in ASL Interpreter Program
american-sign-language-interpreting-b-a.html| Advanced American Sign Language|3360|ASLI|The following 43 credits constitute the required courses for the major in ASLI:|General Requirements for the Bachelor of Arts in ASL Interpreter Program
american-sign-language-interpreting-b-a.html| Advanced Interpreting Techniques and Skills in ASL/English|4335|ASLI|The following 43 credits constitute the required courses for the major in ASLI:|General Requirements for the Bachelor of Arts in ASL Interpreter Program
american-sign-language-interpreting-b-a.html| American Sign Language Transliteration and Educational Interpreting|4346|ASLI|The following 43 credits constitute the required courses for the major in ASLI:|General Requirements for the Bachelor of Arts in ASL Interpreter Program
american-sign-language-interpreting-b-a.html| Linguistics of American Sign Language|4368|ASLI|The following 43 credits constitute the required courses for the major in ASLI:|General Requirements for the Bachelor of Arts in ASL Interpreter Program
american-sign-language-interpreting-b-a.html| Selected Topics in American Sign Language Interpreting|4397|ASLI|The following 43 credits constitute the required courses for the major in ASLI:|General Requirements for the Bachelor of Arts in ASL Interpreter Program
american-sign-language-interpreting-b-a.html|Fieldwork|4489|ASLI|The following 43 credits constitute the required courses for the major in ASLI:|General Requirements for the Bachelor of Arts in ASL Interpreter Program
american-sign-language-interpreting-b-a.html| Deaf Culture|3301|COMD|The following 43 credits constitute the required courses for the major in ASLI:|General Requirements for the Bachelor of Arts in ASL Interpreter Program
anthropology-b-a.html| Logic I|1321|PHIL|Mathematics/Reasoning:|Core Curriculum Requirements
anthropology-b-a.html| Western Civilization to 1450|2351|HIST|Language, Philosophy & Culture|Core Curriculum Requirements
anthropology-b-a.html| Western Civilization From 1450|2353|HIST|Language, Philosophy & Culture|Core Curriculum Requirements
anthropology-b-a.html| Introduction to Philosophy|1301|PHIL|Language, Philosophy & Culture|Core Curriculum Requirements
anthropology-b-a.html| Introduction to Ethics|1305|PHIL|Language, Philosophy & Culture|Core Curriculum Requirements
anthropology-b-a.html| Ancient and Medieval Political Thought|3340|POLS|Language, Philosophy & Culture|Core Curriculum Requirements
anthropology-b-a.html| Foundations of Modern Politics|3341|POLS|Language, Philosophy & Culture|Core Curriculum Requirements
anthropology-b-a.html| Greek Political Thought|4346|POLS|Language, Philosophy & Culture|Core Curriculum Requirements
anthropology-b-a.html| Microeconomic Principles|2304|ECON|Social/Behavioral Sciences|Core Curriculum Requirements
anthropology-b-a.html| Macroeconomic Principles|2305|ECON|Social/Behavioral Sciences|Core Curriculum Requirements
anthropology-b-a.html| World Realms|2340|GEOG|Social/Behavioral Sciences|Core Curriculum Requirements
anthropology-b-a.html| Introduction to Political Theory|3310|POLS|Social/Behavioral Sciences|Core Curriculum Requirements
anthropology-b-a.html| Introduction to Comparative Politics|3311|POLS|Social/Behavioral Sciences|Core Curriculum Requirements
anthropology-b-a.html| Introduction to Psychology|1300|PSYC|Social/Behavioral Sciences|Core Curriculum Requirements
anthropology-b-a.html| Introduction to Social Psychology|2380|PSYC|Social/Behavioral Sciences|Core Curriculum Requirements
anthropology-b-a.html| Introduction to Sociology|1300|SOC|Social/Behavioral Sciences|Core Curriculum Requirements
anthropology-b-a.html| Foundations in American Political Thought|3349|POLS|College Requirements|Requirements
anthropology-b-a.html| Law and Society|3354|POLS|College Requirements|Requirements
anthropology-b-a.html| Introduction to Constitutional Law|3356|POLS|College Requirements|Requirements
anthropology-b-a.html| Constitutional Law: Civil Liberties|3357|POLS|College Requirements|Requirements
anthropology-b-a.html| Legislative Processes|3364|POLS|College Requirements|Requirements
anthropology-b-a.html| Abnormal Psychology|4321|PSYC|College Requirements|Requirements
anthropology-b-a.html| The Sociology of Deviance|3312|SOC|College Requirements|Requirements
anthropology-b-a.html| Criminology|3313|SOC|College Requirements|Requirements
anthropology-b-a.html| Introduction to Cultural Anthropology|2302|ANTH|Anthropology:|Program Requirements
anthropology-b-a.html| Introduction to Language and Culture|2304|ANTH|Anthropology:|Program Requirements
anthropology-b-a.html| Psychological Anthropology|3305|ANTH|Anthropology:|Program Requirements
anthropology-b-a.html| Anthropology of Women|3347|ANTH|Anthropology:|Program Requirements
anthropology-b-a.html| Anthropology of Religion|3348|ANTH|Anthropology:|Program Requirements
anthropology-b-a.html| Theories of Culture|4310|ANTH|Anthropology:|Program Requirements
anthropology-b-a.html| Advanced Composition|3340|ENGL|Electives|Requirements
anthropology-b-a.html| Law, Society, and Morality|3375|PHIL|Electives|Requirements
anthropology-b-a.html| Argumentation and Debate|3337|COMM|Electives|Requirements
anthropology-b-a.html| Introduction to Cultural Anthropology|2302|ANTH|Requirements|Requirements
anthropology-b-a.html| Introduction to Physical Anthropology|2301|ANTH|Requirements|Requirements
anthropology-b-a.html| Introduction to Archaeology|2303|ANTH|Requirements|Requirements
anthropology-b-a.html| Introduction to Language and Culture|2304|ANTH|Requirements|Requirements
anthropology-b-a.html| Theories of Culture|4310|ANTH|Requirements|Requirements
anthropology-b-s.html| Logic I|1321|PHIL|Mathematics/Reasoning:|Core Curriculum Requirements
anthropology-b-s.html| Western Civilization to 1450|2351|HIST|Language, Philosophy & Culture|Core Curriculum Requirements
anthropology-b-s.html| Western Civilization From 1450|2353|HIST|Language, Philosophy & Culture|Core Curriculum Requirements
anthropology-b-s.html| Introduction to Philosophy|1301|PHIL|Language, Philosophy & Culture|Core Curriculum Requirements
anthropology-b-s.html| Introduction to Ethics|1305|PHIL|Language, Philosophy & Culture|Core Curriculum Requirements
anthropology-b-s.html| Ancient and Medieval Political Thought|3340|POLS|Language, Philosophy & Culture|Core Curriculum Requirements
anthropology-b-s.html| Foundations of Modern Politics|3341|POLS|Language, Philosophy & Culture|Core Curriculum Requirements
anthropology-b-s.html| Greek Political Thought|4346|POLS|Language, Philosophy & Culture|Core Curriculum Requirements
anthropology-b-s.html| Microeconomic Principles|2304|ECON|Social/Behavioral Sciences|Core Curriculum Requirements
anthropology-b-s.html| Macroeconomic Principles|2305|ECON|Social/Behavioral Sciences|Core Curriculum Requirements
anthropology-b-s.html| World Realms|2340|GEOG|Social/Behavioral Sciences|Core Curriculum Requirements
anthropology-b-s.html| Introduction to Political Theory|3310|POLS|Social/Behavioral Sciences|Core Curriculum Requirements
anthropology-b-s.html| Introduction to Comparative Politics|3311|POLS|Social/Behavioral Sciences|Core Curriculum Requirements
anthropology-b-s.html| Introduction to Psychology|1300|PSYC|Social/Behavioral Sciences|Core Curriculum Requirements
anthropology-b-s.html| Introduction to Social Psychology|2380|PSYC|Social/Behavioral Sciences|Core Curriculum Requirements
anthropology-b-s.html| Introduction to Sociology|1300|SOC|Social/Behavioral Sciences|Core Curriculum Requirements
anthropology-b-s.html| Foundations in American Political Thought|3349|POLS|College Requirements|Requirements
anthropology-b-s.html| Law and Society|3354|POLS|College Requirements|Requirements
anthropology-b-s.html| Introduction to Constitutional Law|3356|POLS|College Requirements|Requirements
anthropology-b-s.html| Constitutional Law: Civil Liberties|3357|POLS|College Requirements|Requirements
anthropology-b-s.html| Legislative Processes|3364|POLS|College Requirements|Requirements
anthropology-b-s.html| Abnormal Psychology|4321|PSYC|College Requirements|Requirements
anthropology-b-s.html| The Sociology of Deviance|3312|SOC|College Requirements|Requirements
anthropology-b-s.html| Criminology|3313|SOC|College Requirements|Requirements
anthropology-b-s.html| Introduction to Cultural Anthropology|2302|ANTH|Anthropology:|Program Requirements
anthropology-b-s.html| Introduction to Language and Culture|2304|ANTH|Anthropology:|Program Requirements
anthropology-b-s.html| Psychological Anthropology|3305|ANTH|Anthropology:|Program Requirements
anthropology-b-s.html| Anthropology of Women|3347|ANTH|Anthropology:|Program Requirements
anthropology-b-s.html| Anthropology of Religion|3348|ANTH|Anthropology:|Program Requirements
anthropology-b-s.html| Theories of Culture|4310|ANTH|Anthropology:|Program Requirements
anthropology-b-s.html| Advanced Composition|3340|ENGL|Electives|Requirements
anthropology-b-s.html| Law, Society, and Morality|3375|PHIL|Electives|Requirements
anthropology-b-s.html| Argumentation and Debate|3337|COMM|Electives|Requirements
anthropology-b-s.html| Introduction to Cultural Anthropology|2302|ANTH|Requirements|Requirements
anthropology-b-s.html| Introduction to Physical Anthropology|2301|ANTH|Requirements|Requirements
anthropology-b-s.html| Introduction to Archaeology|2303|ANTH|Requirements|Requirements
anthropology-b-s.html| Introduction to Language and Culture|2304|ANTH|Requirements|Requirements
anthropology-b-s.html| Theories of Culture|4310|ANTH|Requirements|Requirements
applied-music-b-m.html| Performance Pedagogy|4250|MUSI|Requirements|Piano Pedagogy
applied-music-b-m.html| Advanced Performance Pedagogy|4251|MUSI|Requirements|Piano Pedagogy
applied-music-b-m.html| Internship in Piano Teaching I|4160|MUSI|Requirements|Piano Pedagogy
applied-music-b-m.html| Internship in Piano Teaching II|4161|MUSI|Requirements|Piano Pedagogy
applied-music-b-m.html| Aural Skills I|1170|MUSI|Requirements|Piano Pedagogy
applied-music-b-m.html| Aural Skills II|1171|MUSI|Requirements|Piano Pedagogy
applied-music-b-m.html| Aural Skills III|2170|MUSI|Requirements|Piano Pedagogy
applied-music-b-m.html| Aural Skills IV|2171|MUSI|Requirements|Piano Pedagogy
applied-music-b-m.html| Theory I|1310|MUSI|Requirements|Piano Pedagogy
applied-music-b-m.html| Theory II|1311|MUSI|Requirements|Piano Pedagogy
applied-music-b-m.html| Collaborative Keyboard|2188|MUSI|Requirements|Piano Pedagogy
applied-music-b-m.html| Theory III|2210|MUSI|Requirements|Piano Pedagogy
applied-music-b-m.html| Techniques of Music Since 1900|2214|MUSI|Requirements|Piano Pedagogy
applied-music-b-m.html| Music and Culture|2361|MUSI|Requirements|Piano Pedagogy
applied-music-b-m.html| History of Music I|2362|MUSI|Requirements|Piano Pedagogy
applied-music-b-m.html| History of Music II|3363|MUSI|Requirements|Piano Pedagogy
applied-music-b-m.html| History of Music III|3364|MUSI|Requirements|Piano Pedagogy
applied-music-b-m.html| Advanced Sight Reading for Keyboard Players|3160|MUSI|Requirements|Piano Pedagogy
applied-music-b-m.html| Introduction to Large Forms|3215|MUSI|Requirements|Piano Pedagogy
applied-music-b-m.html| Analysis|3216|MUSI|Requirements|Piano Pedagogy
applied-music-b-m.html| Keyboard Harmony|3261|MUSI|Requirements|Piano Pedagogy
applied-music-b-m.html| Chamber Music|4100|MUSI|Requirements|Piano Pedagogy
applied-music-b-m.html| Independent Study|4198|MUSI|Requirements|Piano Pedagogy
applied-music-b-m.html| Choral Conducting I|4220|MUSI|Requirements|Piano Pedagogy
applied-music-b-m.html| Instrumental Conducting I|4230|MUSI|Requirements|Piano Pedagogy
applied-music-b-m.html| Aural Skills I|1170|MUSI|Requirements|Piano Performance
applied-music-b-m.html| Aural Skills II|1171|MUSI|Requirements|Piano Performance
applied-music-b-m.html| Aural Skills III|2170|MUSI|Requirements|Piano Performance
applied-music-b-m.html| Aural Skills IV|2171|MUSI|Requirements|Piano Performance
applied-music-b-m.html| Theory I|1310|MUSI|Requirements|Piano Performance
applied-music-b-m.html| Theory II|1311|MUSI|Requirements|Piano Performance
applied-music-b-m.html| Collaborative Keyboard|2188|MUSI|Requirements|Piano Performance
applied-music-b-m.html| Theory III|2210|MUSI|Requirements|Piano Performance
applied-music-b-m.html| Techniques of Music Since 1900|2214|MUSI|Requirements|Piano Performance
applied-music-b-m.html| Music and Culture|2361|MUSI|Requirements|Piano Performance
applied-music-b-m.html| History of Music I|2362|MUSI|Requirements|Piano Performance
applied-music-b-m.html| History of Music II|3363|MUSI|Requirements|Piano Performance
applied-music-b-m.html| History of Music III|3364|MUSI|Requirements|Piano Performance
applied-music-b-m.html| Advanced Sight Reading for Keyboard Players|3160|MUSI|Requirements|Piano Performance
applied-music-b-m.html| Introduction to Large Forms|3215|MUSI|Requirements|Piano Performance
applied-music-b-m.html| Analysis|3216|MUSI|Requirements|Piano Performance
applied-music-b-m.html| Keyboard Harmony|3261|MUSI|Requirements|Piano Performance
applied-music-b-m.html| Chamber Music|4100|MUSI|Requirements|Piano Performance
applied-music-b-m.html| Independent Study|4198|MUSI|Requirements|Piano Performance
applied-music-b-m.html| Choral Conducting I|4220|MUSI|Requirements|Piano Performance
applied-music-b-m.html| Instrumental Conducting I|4230|MUSI|Requirements|Piano Performance
applied-music-b-m.html| Performance Pedagogy|4250|MUSI|Requirements|Piano Performance
applied-music-b-m.html| Aural Skills I|1170|MUSI|Requirements|Organ Performance
applied-music-b-m.html| Aural Skills II|1171|MUSI|Requirements|Organ Performance
applied-music-b-m.html| Aural Skills III|2170|MUSI|Requirements|Organ Performance
applied-music-b-m.html| Aural Skills IV|2171|MUSI|Requirements|Organ Performance
applied-music-b-m.html| Theory I|1310|MUSI|Requirements|Organ Performance
applied-music-b-m.html| Theory II|1311|MUSI|Requirements|Organ Performance
applied-music-b-m.html| Theory III|2210|MUSI|Requirements|Organ Performance
applied-music-b-m.html| Techniques of Music Since 1900|2214|MUSI|Requirements|Organ Performance
applied-music-b-m.html| Music and Culture|2361|MUSI|Requirements|Organ Performance
applied-music-b-m.html| History of Music I|2362|MUSI|Requirements|Organ Performance
applied-music-b-m.html| History of Music II|3363|MUSI|Requirements|Organ Performance
applied-music-b-m.html| History of Music III|3364|MUSI|Requirements|Organ Performance
applied-music-b-m.html| Advanced Sight Reading for Keyboard Players|3160|MUSI|Requirements|Organ Performance
applied-music-b-m.html| Introduction to Large Forms|3215|MUSI|Requirements|Organ Performance
applied-music-b-m.html| Analysis|3216|MUSI|Requirements|Organ Performance
applied-music-b-m.html| Keyboard Harmony|3261|MUSI|Requirements|Organ Performance
applied-music-b-m.html| Choral Conducting I|4220|MUSI|Requirements|Organ Performance
applied-music-b-m.html| Performance Pedagogy|4250|MUSI|Requirements|Organ Performance
applied-music-b-m.html| Independent Study|4298|MUSI|Requirements|Organ Performance
applied-music-b-m.html| Group Piano I|1160|MUSI|Requirements|Instrumental Performance (Winds, Brass, Strings, Percussion)
applied-music-b-m.html| Group Piano II|1161|MUSI|Requirements|Instrumental Performance (Winds, Brass, Strings, Percussion)
applied-music-b-m.html| Aural Skills I|1170|MUSI|Requirements|Instrumental Performance (Winds, Brass, Strings, Percussion)
applied-music-b-m.html| Aural Skills II|1171|MUSI|Requirements|Instrumental Performance (Winds, Brass, Strings, Percussion)
applied-music-b-m.html| Aural Skills III|2170|MUSI|Requirements|Instrumental Performance (Winds, Brass, Strings, Percussion)
applied-music-b-m.html| Aural Skills IV|2171|MUSI|Requirements|Instrumental Performance (Winds, Brass, Strings, Percussion)
applied-music-b-m.html| Theory I|1310|MUSI|Requirements|Instrumental Performance (Winds, Brass, Strings, Percussion)
applied-music-b-m.html| Theory II|1311|MUSI|Requirements|Instrumental Performance (Winds, Brass, Strings, Percussion)
applied-music-b-m.html| Theory III|2210|MUSI|Requirements|Instrumental Performance (Winds, Brass, Strings, Percussion)
applied-music-b-m.html| Techniques of Music Since 1900|2214|MUSI|Requirements|Instrumental Performance (Winds, Brass, Strings, Percussion)
applied-music-b-m.html| Music and Culture|2361|MUSI|Requirements|Instrumental Performance (Winds, Brass, Strings, Percussion)
applied-music-b-m.html| History of Music I|2362|MUSI|Requirements|Instrumental Performance (Winds, Brass, Strings, Percussion)
applied-music-b-m.html| History of Music II|3363|MUSI|Requirements|Instrumental Performance (Winds, Brass, Strings, Percussion)
applied-music-b-m.html| History of Music III|3364|MUSI|Requirements|Instrumental Performance (Winds, Brass, Strings, Percussion)
applied-music-b-m.html| Introduction to Large Forms|3215|MUSI|Requirements|Instrumental Performance (Winds, Brass, Strings, Percussion)
applied-music-b-m.html| Analysis|3216|MUSI|Requirements|Instrumental Performance (Winds, Brass, Strings, Percussion)
applied-music-b-m.html| Chamber Music|4100|MUSI|Requirements|Instrumental Performance (Winds, Brass, Strings, Percussion)
applied-music-b-m.html| Independent Study|4198|MUSI|Requirements|Instrumental Performance (Winds, Brass, Strings, Percussion)
applied-music-b-m.html| Instrumental Conducting I|4230|MUSI|Requirements|Instrumental Performance (Winds, Brass, Strings, Percussion)
applied-music-b-m.html| Performance Pedagogy|4250|MUSI|Requirements|Instrumental Performance (Winds, Brass, Strings, Percussion)
applied-music-b-m.html| Group Piano I|1160|MUSI|Requirements|Vocal Performance
applied-music-b-m.html| Group Piano II|1161|MUSI|Requirements|Vocal Performance
applied-music-b-m.html| Group Piano III|2160|MUSI|Requirements|Vocal Performance
applied-music-b-m.html| Group Piano IV|2161|MUSI|Requirements|Vocal Performance
applied-music-b-m.html| Aural Skills I|1170|MUSI|Requirements|Vocal Performance
applied-music-b-m.html| Aural Skills II|1171|MUSI|Requirements|Vocal Performance
applied-music-b-m.html| Aural Skills III|2170|MUSI|Requirements|Vocal Performance
applied-music-b-m.html| Aural Skills IV|2171|MUSI|Requirements|Vocal Performance
applied-music-b-m.html| Theory I|1310|MUSI|Requirements|Vocal Performance
applied-music-b-m.html| Theory II|1311|MUSI|Requirements|Vocal Performance
applied-music-b-m.html| Vocal Diction|2101|MUSI|Requirements|Vocal Performance
applied-music-b-m.html| Theory III|2210|MUSI|Requirements|Vocal Performance
applied-music-b-m.html| Techniques of Music Since 1900|2214|MUSI|Requirements|Vocal Performance
applied-music-b-m.html| Music and Culture|2361|MUSI|Requirements|Vocal Performance
applied-music-b-m.html| History of Music I|2362|MUSI|Requirements|Vocal Performance
applied-music-b-m.html| History of Music II|3363|MUSI|Requirements|Vocal Performance
applied-music-b-m.html| History of Music III|3364|MUSI|Requirements|Vocal Performance
applied-music-b-m.html| Introduction to Large Forms|3215|MUSI|Requirements|Vocal Performance
applied-music-b-m.html| Acting for Opera|4102|MUSI|Requirements|Vocal Performance
applied-music-b-m.html| Independent Study|4198|MUSI|Requirements|Vocal Performance
applied-music-b-m.html| Choral Conducting I|4220|MUSI|Requirements|Vocal Performance
applied-music-b-m.html| Performance Pedagogy|4250|MUSI|Requirements|Vocal Performance
applied-music-b-m.html| Art Song Repertoire|4370|MUSI|Requirements|Vocal Performance
architecture-b-arch.html| Introduction to Architecture Design, Industrial Design, & Interior Arch|1200|ARCH|Fall Semester|Foundation
architecture-b-arch.html| Design Studio I|1500|ARCH|Fall Semester|Foundation
architecture-b-arch.html| First Year Writing I|1303|ENGL|Fall Semester|Foundation
architecture-b-arch.html| The U S To 1877|1377|HIST|Fall Semester|Foundation
architecture-b-arch.html| College Algebra|1310|MATH|Fall Semester|Foundation
architecture-b-arch.html| Design Since 1945|1359|ARCH|Spring Semester|Foundation
architecture-b-arch.html| Design Studio II|1501|ARCH|Spring Semester|Foundation
architecture-b-arch.html| First Year Writing II|1304|ENGL|Spring Semester|Foundation
architecture-b-arch.html| The U S Since 1877|1378|HIST|Spring Semester|Foundation
architecture-b-arch.html| Precalculus|1330|MATH|Spring Semester|Foundation
architecture-b-arch.html| Architecture and Interior Architecture Design Studio III|2500|ARCH|Fall Semester|Foundation
architecture-b-arch.html| Technology I|2327|ARCH|Fall Semester|Foundation
architecture-b-arch.html| Survey of Architectural History I|2350|ARCH|Fall Semester|Foundation
architecture-b-arch.html| Introductory General Physics I|1301|PHYS|Fall Semester|Foundation
architecture-b-arch.html| Architecture Design Studio IV|2501|ARCH|Spring Semester|Intermediate
architecture-b-arch.html| Technology 2|2328|ARCH|Spring Semester|Intermediate
architecture-b-arch.html| Survey of Architectural History II|2351|ARCH|Spring Semester|Intermediate
architecture-b-arch.html| Programming & Bldg Regulations|2230|ARCH|Spring Semester|Intermediate
architecture-b-arch.html| Introductory General Physics II|1302|PHYS|Spring Semester|Intermediate
