assoc_id,assoc_name,course_id,course_rubric,course_number,course_name
6,"Associate of Arts, Social & Behavioral Sciences",188,HIST,2321,World Civilization I
6,"Associate of Arts, Social & Behavioral Sciences",189,HIST,2322,World Civilization II
6,"Associate of Arts, Social & Behavioral Sciences",190,HIST,2327,Mexican-American History I
6,"Associate of Arts, Social & Behavioral Sciences",191,HIST,2328,Mexican-American History II
6,"Associate of Arts, Social & Behavioral Sciences",192,HIST,2381,African-American History
6,"Associate of Arts, Social & Behavioral Sciences",193,HUMA,1301,Introduction to the Humanities I
6,"Associate of Arts, Social & Behavioral Sciences",194,HUMA,1305,Introduction to Mexican-American Studies
6,"Associate of Arts, Social & Behavioral Sciences",195,HUMA,1311,Mexican-American Fine Arts Appreciation
6,"Associate of Arts, Social & Behavioral Sciences",236,PHIL,1301,Introduction to Philosophy
6,"Associate of Arts, Social & Behavioral Sciences",237,PHIL,1304,Introduction to World Religions
6,"Associate of Arts, Social & Behavioral Sciences",238,PHIL,2303,Introduction to Formal Logic
6,"Associate of Arts, Social & Behavioral Sciences",239,PHIL,2306,Introduction to Ethics
6,"Associate of Arts, Social & Behavioral Sciences",240,PHIL,2307,Introduction to Social & Political Philosophy
6,"Associate of Arts, Social & Behavioral Sciences",253,PSYC,1300,Learning Framework
6,"Associate of Arts, Social & Behavioral Sciences",254,PSYC,2301,General Psychology
6,"Associate of Arts, Social & Behavioral Sciences",255,PSYC,2306,Human Sexuality
6,"Associate of Arts, Social & Behavioral Sciences",256,PSYC,2308,Child Psychology
6,"Associate of Arts, Social & Behavioral Sciences",257,PSYC,2314,Lifespan Growth & Development
6,"Associate of Arts, Social & Behavioral Sciences",258,PSYC,2315,Psychology of Adjustment
6,"Associate of Arts, Social & Behavioral Sciences",259,PSYC,2317,Statistical Methods in Psychology
6,"Associate of Arts, Social & Behavioral Sciences",260,PSYC,2319,Social Psychology
6,"Associate of Arts, Social & Behavioral Sciences",270,SOCI,1301,Introductory Sociology
6,"Associate of Arts, Social & Behavioral Sciences",271,SOCI,1306,Social Problems
6,"Associate of Arts, Social & Behavioral Sciences",272,SOCI,2301,Marriage & the Family
6,"Associate of Arts, Social & Behavioral Sciences",273,SOCI,2306,Human Sexuality
6,"Associate of Arts, Social & Behavioral Sciences",274,SOCI,2319,Minority Studies
6,"Associate of Arts, Social & Behavioral Sciences",275,SOCI,2336,Criminology
7,"Associate of Arts in Teaching, EC-6",,,,
8,"Associate of Arts in Teaching, 4-8,EC-12",,,,
9,"Associate of Arts in Teaching, 8-12, EC-12",,,,
10,"Associate of Science, Computer Science",90,COSC,1336,Programming Fundamentals I
10,"Associate of Science, Computer Science",91,COSC,1337,Programming Fundamentals II
10,"Associate of Science, Computer Science",93,COSC,2336,Programming Fundamentals III
10,"Associate of Science, Computer Science",92,COSC,2325,Computer Organization
10,"Associate of Science, Computer Science",207,MATH,2413,Calculus I
10,"Associate of Science, Computer Science",208,MATH,2414,Calculus II
10,"Associate of Science, Computer Science",251,PHYS,2325,University Physics I (lecture)
10,"Associate of Science, Computer Science",252,PHYS,2326,University Physics II (lecture)
11,"Associate of Science, Life Science",,,,
12,"Associate of Science, Mathematics",,,,
13,"Associate of Science, Physical Sciences",,,,
