degree_name,course_rubric,course_number,course_name,other_component_name,other_component_hours
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,SOCI,4358,Family and Society,College of Human Sciences and Humanities Core Requirements,6
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,EDUC,4310,Theories of Educational Psychology,College of Education Requirements,22
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,INST,3313,Survey of Instructional Technologies,College of Education Requirements,22
Art and Design B.F.A. with Grades EC-12 Art Certification,WRIT,1301,Composition I,University Core Requirements,42
Fitness and Human Performance B.S.,WRIT,1302,Composition II,University Core Requirements,42
Fitness and Human Performance B.S.,MATH,1314,College Algebra,University Core Requirements,42
Fitness and Human Performance B.S.,BIOL,1306,Biology for Science Majors I,University Core Requirements,42
Fitness and Human Performance B.S.,BIOL,1307,Biology for Science Majors II,University Core Requirements,42
Fitness and Human Performance B.S.,HUMN,1301,Humanities,University Core Requirements,42
Fitness and Human Performance B.S.,LITR,2341,Literature and Experience,University Core Requirements,42
Fitness and Human Performance B.S.,PHIL,1301,Introduction to Philosophy,University Core Requirements,42
Finance B.S.,WRIT,1301,Composition I,University Core Requirements,45
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,LLLS,4351,Reading in Content Subjects,College of Education Requirements,22
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,SILC,4315,Theories of American Pluralism,College of Education Requirements,22
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,SPED,2301,Introduction to Special Populations,College of Education Requirements,22
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,SPED,4300,Survey of Exceptionalities,College of Education Requirements,22
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,TCED,1301,Exploring Teaching as a Profession,College of Education Requirements,22
Anthropology B.S.,WRIT,1301,Composition I,University Core Requirements,42
Art and Design B.F.A. with Grades EC-12 Art Certification,WRIT,1302,Composition II,University Core Requirements,42
Art and Design B.F.A. with Grades EC-12 Art Certification,MATH,1314,College Algebra,University Core Requirements,42
Art and Design B.F.A. with Grades EC-12 Art Certification,MATH,1332,Contemporary Mathematics,University Core Requirements,42
Art and Design B.F.A. with Grades EC-12 Art Certification,ASTR,1303,Stars and Galaxies,University Core Requirements,42
Art and Design B.F.A. with Grades EC-12 Art Certification,ASTR,1304,Solar System,University Core Requirements,42
Addictions Counseling B.S.,WRIT,1301,Composition I,University Core Requirements,42
Addictions Counseling B.S.,WRIT,1302,Composition II,University Core Requirements,42
Fitness and Human Performance B.S.,WGST,1301,Gender Matters: Introduction to Women's and Gender Studies,University Core Requirements,42
Fitness and Human Performance B.S.,ARTS,1303,World Art Survey I,University Core Requirements,42
Fitness and Human Performance B.S.,ARTS,1304,World Art Survey II,University Core Requirements,42
Fitness and Human Performance B.S.,ARTS,2379,Arts and the Child,University Core Requirements,42
Finance B.S.,WRIT,1302,Composition II,University Core Requirements,45
Finance B.S.,MATH,1324,Mathematics for Business and Social Sciences.,University Core Requirements,45
Finance B.S.,MATH,1325,Calculus for Business and Social Sciences,University Core Requirements,45
Finance B.S.,ASTR,1303,Stars and Galaxies,University Core Requirements,45
Accounting B.S.,WRIT,1301,Composition I,University Core Requirements,42
Accounting B.S.,WRIT,1302,Composition II,University Core Requirements,42
Art and Design B.F.A.,WRIT,1301,Composition I,University Core Requirements,42
Art and Design B.F.A.,WRIT,1302,Composition II,University Core Requirements,42
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,TCED,4102,Secondary 4-8 and 7-12 Content Teacher Seminar,College of Education Requirements,22
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,HLTH,2110,Team Games and Sports,Major Requirements,27
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,HLTH,2113,Individual Games and Sports,Major Requirements,27
Anthropology B.S.,WRIT,1302,Composition II,University Core Requirements,42
Anthropology B.S.,MATH,1314,College Algebra,University Core Requirements,42
Anthropology B.S.,MATH,1332,Contemporary Mathematics,University Core Requirements,42
Anthropology B.S.,ASTR,1303,Stars and Galaxies,University Core Requirements,42
Geography B.S.,WRIT,1301,Composition I,University Core Requirements,42
Art and Design B.F.A. with Grades EC-12 Art Certification,BIOL,1306,Biology for Science Majors I,University Core Requirements,42
Art and Design B.F.A. with Grades EC-12 Art Certification,BIOL,1307,Biology for Science Majors II,University Core Requirements,42
Art and Design B.F.A. with Grades EC-12 Art Certification,BIOL,1308,Biology for Non-Science Majors I,University Core Requirements,42
Art and Design B.F.A. with Grades EC-12 Art Certification,BIOL,1309,Biology for Non-Science Majors II,University Core Requirements,42
Addictions Counseling B.S.,HIST,1301,United States History I,University Core Requirements,42
Addictions Counseling B.S.,HIST,1302,United States History II,University Core Requirements,42
Addictions Counseling B.S.,POLS,2305,Federal Government,University Core Requirements,42
Fitness and Human Performance B.S.,HIST,1301,United States History I,University Core Requirements,42
Fitness and Human Performance B.S.,HIST,1302,United States History II,University Core Requirements,42
Fitness and Human Performance B.S.,POLS,2305,Federal Government,University Core Requirements,42
Fitness and Human Performance B.S.,POLS,2306,Texas Government,University Core Requirements,42
Fitness and Human Performance B.S.,ECON,2301,Principles of Macroeconomics,University Core Requirements,42
General Business B.S.,WRIT,1301,Composition I,University Core Requirements,42
General Business B.S.,WRIT,1302,Composition II,University Core Requirements,42
Finance B.S.,ASTR,1304,Solar System,University Core Requirements,45
Finance B.S.,BIOL,1306,Biology for Science Majors I,University Core Requirements,45
Finance B.S.,BIOL,1307,Biology for Science Majors II,University Core Requirements,45
Finance B.S.,BIOL,1308,Biology for Non-Science Majors I,University Core Requirements,45
Finance B.S.,BIOL,1309,Biology for Non-Science Majors II,University Core Requirements,45
Finance B.S.,BIOL,2301,Anatomy & Physiology I,University Core Requirements,45
Accounting B.S.,MATH,1324,Mathematics for Business and Social Sciences.,University Core Requirements,42
Accounting B.S.,ASTR,1303,Stars and Galaxies,University Core Requirements,42
Accounting B.S.,ASTR,1304,Solar System,University Core Requirements,42
Accounting B.S.,BIOL,1306,Biology for Science Majors I,University Core Requirements,42
Accounting B.S.,BIOL,1307,Biology for Science Majors II,University Core Requirements,42
Accounting B.S.,BIOL,1308,Biology for Non-Science Majors I,University Core Requirements,42
Art and Design B.F.A.,MATH,1314,College Algebra,University Core Requirements,42
Art and Design B.F.A.,MATH,1324,Mathematics for Business and Social Sciences.,University Core Requirements,42
Art and Design B.F.A.,MATH,1325,Calculus for Business and Social Sciences,University Core Requirements,42
Art and Design B.F.A.,MATH,1332,Contemporary Mathematics,University Core Requirements,42
Art and Design B.F.A.,MATH,1342,Elementary Statistical Methods,University Core Requirements,42
Art and Design B.F.A.,MATH,1350,Mathematics for Teachers I,University Core Requirements,42
Environmental Science B.S.,WRIT,1301,Composition I,University Core Requirements,42
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,HLTH,2115,Innovative Games and Sports,Major Requirements,27
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,HLTH,3301,"Health, Emergency Care and First Aid",Major Requirements,27
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,HLTH,3317,Motor Development and Learning,Major Requirements,27
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,HLTH,4301,Physiology of Exercise,Major Requirements,27
Environmental Management B.S.,WRIT,1301,Composition I,University Core Requirements,42
Environmental Management B.S.,WRIT,1302,Composition II,University Core Requirements,42
Geography B.S. with Social Studies 7-12 Certification,WRIT,1301,Composition I,University Core Requirements,42
Geography B.S. with Social Studies 7-12 Certification,WRIT,1302,Composition II,University Core Requirements,42
Anthropology B.S.,ASTR,1304,Solar System,University Core Requirements,42
Anthropology B.S.,BIOL,1306,Biology for Science Majors I,University Core Requirements,42
Anthropology B.S.,BIOL,1307,Biology for Science Majors II,University Core Requirements,42
Anthropology B.S.,BIOL,1308,Biology for Non-Science Majors I,University Core Requirements,42
Anthropology B.S.,BIOL,1309,Biology for Non-Science Majors II,University Core Requirements,42
Geography B.S.,WRIT,1302,Composition II,University Core Requirements,42
Geography B.S.,MATH,1314,College Algebra,University Core Requirements,42
Geography B.S.,MATH,1332,Contemporary Mathematics,University Core Requirements,42
Geography B.S.,ASTR,1303,Stars and Galaxies,University Core Requirements,42
Geography B.S.,ASTR,1304,Solar System,University Core Requirements,42
Art and Design B.F.A. with Grades EC-12 Art Certification,BIOL,2301,Anatomy & Physiology I,University Core Requirements,42
Art and Design B.F.A. with Grades EC-12 Art Certification,BIOL,2302,Anatomy & Physiology II,University Core Requirements,42
Art and Design B.F.A. with Grades EC-12 Art Certification,CHEM,1305,Introductory Chemistry I,University Core Requirements,42
Art and Design B.F.A. with Grades EC-12 Art Certification,CHEM,1311,General Chemistry I,University Core Requirements,42
Art and Design B.F.A. with Grades EC-12 Art Certification,CHEM,1312,General Chemistry II,University Core Requirements,42
Art and Design B.F.A. with Grades EC-12 Art Certification,ENSC,1301,Environmental Science I,University Core Requirements,42
Addictions Counseling B.S.,POLS,2306,Texas Government,University Core Requirements,42
Addictions Counseling B.S.,SOCI,1301,Introduction to Sociology,University Core Requirements,42
Addictions Counseling B.S.,COMM,1315,Public Speaking,University Core Requirements,42
Addictions Counseling B.S.,PSYC,1100,Learning Frameworks,University Core Requirements,42
Fitness and Human Performance B.S.,ECON,2302,Principles of Microeconomics,University Core Requirements,42
Fitness and Human Performance B.S.,PSYC,2301,Introduction to Psychology,University Core Requirements,42
Fitness and Human Performance B.S.,COMM,1315,Public Speaking,University Core Requirements,42
Fitness and Human Performance B.S.,PSYC,1100,Learning Frameworks,University Core Requirements,42
General Business B.S.,MATH,1324,Mathematics for Business and Social Sciences.,University Core Requirements,42
General Business B.S.,ASTR,1303,Stars and Galaxies,University Core Requirements,42
General Business B.S.,ASTR,1304,Solar System,University Core Requirements,42
General Business B.S.,BIOL,1306,Biology for Science Majors I,University Core Requirements,42
General Business B.S.,BIOL,1307,Biology for Science Majors II,University Core Requirements,42
Finance B.S.,BIOL,2302,Anatomy & Physiology II,University Core Requirements,45
Finance B.S.,CHEM,1305,Introductory Chemistry I,University Core Requirements,45
Finance B.S.,CHEM,1311,General Chemistry I,University Core Requirements,45
Finance B.S.,CHEM,1312,General Chemistry II,University Core Requirements,45
Early Childhood Care and Education B.S.,WRIT,1301,Composition I,University Core Requirements,42
Early Childhood Care and Education B.S.,WRIT,1302,Composition II,University Core Requirements,42
Accounting B.S.,BIOL,1309,Biology for Non-Science Majors II,University Core Requirements,42
Accounting B.S.,BIOL,2301,Anatomy & Physiology I,University Core Requirements,42
Accounting B.S.,BIOL,2302,Anatomy & Physiology II,University Core Requirements,42
Accounting B.S.,CHEM,1305,Introductory Chemistry I,University Core Requirements,42
Art and Design B.F.A.,MATH,2412,Pre-Calculus Mathematics,University Core Requirements,42
Art and Design B.F.A.,MATH,2413,Calculus I,University Core Requirements,42
Art and Design B.F.A.,ASTR,1303,Stars and Galaxies,University Core Requirements,42
Art and Design B.F.A.,ASTR,1304,Solar System,University Core Requirements,42
Art and Design B.F.A.,BIOL,1306,Biology for Science Majors I,University Core Requirements,42
Environmental Science B.S.,WRIT,1302,Composition II,University Core Requirements,42
Environmental Science B.S.,MATH,2413,Calculus I,University Core Requirements,42
Environmental Science B.S.,CHEM,1311,General Chemistry I,University Core Requirements,42
Environmental Science B.S.,CHEM,1312,General Chemistry II,University Core Requirements,42
Environmental Science B.S.,HUMN,1301,Humanities,University Core Requirements,42
Criminology B.S.,WRIT,1301,Composition I,University Core Requirements,42
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,HLTH,4302,Biomechanics,Major Requirements,27
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,HLTH,4305,Seminar in Sports Medicine,Major Requirements,27
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,HLTH,4307,Peak Performance,Major Requirements,27
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,HLTH,4308,Resistive Exercise: Theory and Practice,Major Requirements,27
Environmental Management B.S.,MATH,1314,College Algebra,University Core Requirements,42
Environmental Management B.S.,CHEM,1311,General Chemistry I,University Core Requirements,42
Environmental Management B.S.,CHEM,1312,General Chemistry II,University Core Requirements,42
Environmental Management B.S.,ENSC,1301,Environmental Science I,University Core Requirements,42
Environmental Management B.S.,GEOL,1303,Physical Geology,University Core Requirements,42
Environmental Management B.S.,PHYS,1301,College Physics I,University Core Requirements,42
Geography B.S. with Social Studies 7-12 Certification,MATH,1314,College Algebra,University Core Requirements,42
Geography B.S. with Social Studies 7-12 Certification,MATH,1332,Contemporary Mathematics,University Core Requirements,42
Geography B.S. with Social Studies 7-12 Certification,ASTR,1303,Stars and Galaxies,University Core Requirements,42
Geography B.S. with Social Studies 7-12 Certification,ASTR,1304,Solar System,University Core Requirements,42
Geography B.S. with Social Studies 7-12 Certification,BIOL,1306,Biology for Science Majors I,University Core Requirements,42
Geography B.S. with Social Studies 7-12 Certification,BIOL,1307,Biology for Science Majors II,University Core Requirements,42
Anthropology B.S.,BIOL,2301,Anatomy & Physiology I,University Core Requirements,42
Anthropology B.S.,BIOL,2302,Anatomy & Physiology II,University Core Requirements,42
Anthropology B.S.,CHEM,1305,Introductory Chemistry I,University Core Requirements,42
Anthropology B.S.,CHEM,1311,General Chemistry I,University Core Requirements,42
Anthropology B.S.,CHEM,1312,General Chemistry II,University Core Requirements,42
Geography B.S.,BIOL,1306,Biology for Science Majors I,University Core Requirements,42
Geography B.S.,BIOL,1307,Biology for Science Majors II,University Core Requirements,42
Geography B.S.,BIOL,1308,Biology for Non-Science Majors I,University Core Requirements,42
Geography B.S.,BIOL,1309,Biology for Non-Science Majors II,University Core Requirements,42
Geography B.S.,BIOL,2301,Anatomy & Physiology I,University Core Requirements,42
Geography B.S.,BIOL,2302,Anatomy & Physiology II,University Core Requirements,42
Art and Design B.F.A. with Grades EC-12 Art Certification,ENSC,1302,Environmental Science II,University Core Requirements,42
Art and Design B.F.A. with Grades EC-12 Art Certification,GEOL,1303,Physical Geology,University Core Requirements,42
Art and Design B.F.A. with Grades EC-12 Art Certification,GEOL,1304,Historical Geology,University Core Requirements,42
Art and Design B.F.A. with Grades EC-12 Art Certification,PHYS,1301,College Physics I,University Core Requirements,42
Art and Design B.F.A. with Grades EC-12 Art Certification,PHYS,1302,College Physics II,University Core Requirements,42
Art and Design B.F.A. with Grades EC-12 Art Certification,PHYS,2325,University Physics I,University Core Requirements,42
Addictions Counseling B.S.,COUN,1301,Introduction to Counseling,Major Requirements,78
Addictions Counseling B.S.,COUN,2301,Addictions in Counseling I,Major Requirements,78
Addictions Counseling B.S.,COUN,2302,Counseling Theories,Major Requirements,78
Addictions Counseling B.S.,COUN,2303,"Crisis Assessment, Intervention, and Prevention",Major Requirements,78
Addictions Counseling B.S.,COUN,3301,Developmental Counseling,Major Requirements,78
Fitness and Human Performance B.S.,ANTH,3362,"Medicine, Bodies, and Culture",College Core Requirements,6
Fitness and Human Performance B.S.,GEOG,4301,Urban Geography,College Core Requirements,6
Fitness and Human Performance B.S.,SOCI,4358,Family and Society,College Core Requirements,6
Fitness and Human Performance B.S.,SOCI,4364,Medical Sociology,College Core Requirements,6
Fitness and Human Performance B.S.,WRIT,3306,Writing for the Social Sciences,College Core Requirements,6
General Business B.S.,BIOL,1308,Biology for Non-Science Majors I,University Core Requirements,42
General Business B.S.,BIOL,1309,Biology for Non-Science Majors II,University Core Requirements,42
General Business B.S.,BIOL,2301,Anatomy & Physiology I,University Core Requirements,42
General Business B.S.,BIOL,2302,Anatomy & Physiology II,University Core Requirements,42
General Business B.S.,CHEM,1305,Introductory Chemistry I,University Core Requirements,42
General Business B.S.,CHEM,1311,General Chemistry I,University Core Requirements,42
Finance B.S.,ENSC,1301,Environmental Science I,University Core Requirements,45
Finance B.S.,ENSC,1302,Environmental Science II,University Core Requirements,45
Finance B.S.,GEOL,1303,Physical Geology,University Core Requirements,45
Finance B.S.,GEOL,1304,Historical Geology,University Core Requirements,45
Finance B.S.,PHYS,1301,College Physics I,University Core Requirements,45
Finance B.S.,PHYS,1302,College Physics II,University Core Requirements,45
Early Childhood Care and Education B.S.,HIST,1301,United States History I,University Core Requirements,42
Early Childhood Care and Education B.S.,HIST,1302,United States History II,University Core Requirements,42
Early Childhood Care and Education B.S.,POLS,2305,Federal Government,University Core Requirements,42
Early Childhood Care and Education B.S.,POLS,2306,Texas Government,University Core Requirements,42
Early Childhood Care and Education B.S.,COMM,1315,Public Speaking,University Core Requirements,42
Accounting B.S.,CHEM,1311,General Chemistry I,University Core Requirements,42
Accounting B.S.,CHEM,1312,General Chemistry II,University Core Requirements,42
Accounting B.S.,ENSC,1301,Environmental Science I,University Core Requirements,42
Accounting B.S.,ENSC,1302,Environmental Science II,University Core Requirements,42
Art and Design B.F.A.,BIOL,1307,Biology for Science Majors II,University Core Requirements,42
Art and Design B.F.A.,BIOL,1308,Biology for Non-Science Majors I,University Core Requirements,42
Art and Design B.F.A.,BIOL,1309,Biology for Non-Science Majors II,University Core Requirements,42
Art and Design B.F.A.,BIOL,2301,Anatomy & Physiology I,University Core Requirements,42
Art and Design B.F.A.,BIOL,2302,Anatomy & Physiology II,University Core Requirements,42
Art and Design B.F.A.,CHEM,1305,Introductory Chemistry I,University Core Requirements,42
Environmental Science B.S.,LITR,2341,Literature and Experience,University Core Requirements,42
Environmental Science B.S.,PHIL,1301,Introduction to Philosophy,University Core Requirements,42
Environmental Science B.S.,WGST,1301,Gender Matters: Introduction to Women's and Gender Studies,University Core Requirements,42
Environmental Science B.S.,ARTS,1303,World Art Survey I,University Core Requirements,42
Environmental Science B.S.,ARTS,1304,World Art Survey II,University Core Requirements,42
Environmental Science B.S.,ARTS,2379,Arts and the Child,University Core Requirements,42
Criminology B.S.,WRIT,1302,Composition II,University Core Requirements,42
Criminology B.S.,MATH,1314,College Algebra,University Core Requirements,42
Criminology B.S.,MATH,1332,Contemporary Mathematics,University Core Requirements,42
Criminology B.S.,ASTR,1303,Stars and Galaxies,University Core Requirements,42
Criminology B.S.,ASTR,1304,Solar System,University Core Requirements,42
Criminology B.S.,BIOL,1306,Biology for Science Majors I,University Core Requirements,42
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,HLTH,4370,Undergraduate Practicum,Major Requirements,27
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,HLTH,4311,Methods in Physical Education I,Pedagogy Requirements,18
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,HLTH,4312,Methods in Physical Education II,Pedagogy Requirements,18
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,TCED,4378,Pre-Service Internship I,Pedagogy Requirements,18
Environmental Management B.S.,HUMN,1301,Humanities,University Core Requirements,42
Environmental Management B.S.,LITR,2341,Literature and Experience,University Core Requirements,42
Environmental Management B.S.,PHIL,1301,Introduction to Philosophy,University Core Requirements,42
Environmental Management B.S.,WGST,1301,Gender Matters: Introduction to Women's and Gender Studies,University Core Requirements,42
Environmental Management B.S.,ARTS,1303,World Art Survey I,University Core Requirements,42
Environmental Management B.S.,ARTS,1304,World Art Survey II,University Core Requirements,42
Geography B.S. with Social Studies 7-12 Certification,BIOL,1308,Biology for Non-Science Majors I,University Core Requirements,42
Geography B.S. with Social Studies 7-12 Certification,BIOL,1309,Biology for Non-Science Majors II,University Core Requirements,42
Geography B.S. with Social Studies 7-12 Certification,BIOL,2301,Anatomy & Physiology I,University Core Requirements,42
Geography B.S. with Social Studies 7-12 Certification,BIOL,2302,Anatomy & Physiology II,University Core Requirements,42
Geography B.S. with Social Studies 7-12 Certification,CHEM,1305,Introductory Chemistry I,University Core Requirements,42
Geography B.S. with Social Studies 7-12 Certification,CHEM,1311,General Chemistry I,University Core Requirements,42
Geography B.S. with Social Studies 7-12 Certification,CHEM,1312,General Chemistry II,University Core Requirements,42
Anthropology B.S.,ENSC,1301,Environmental Science I,University Core Requirements,42
Anthropology B.S.,ENSC,1302,Environmental Science II,University Core Requirements,42
Anthropology B.S.,GEOL,1303,Physical Geology,University Core Requirements,42
Anthropology B.S.,GEOL,1304,Historical Geology,University Core Requirements,42
Anthropology B.S.,PHYS,1301,College Physics I,University Core Requirements,42
Anthropology B.S.,PHYS,1302,College Physics II,University Core Requirements,42
Anthropology B.S.,PHYS,2325,University Physics I,University Core Requirements,42
Geography B.S.,CHEM,1305,Introductory Chemistry I,University Core Requirements,42
Geography B.S.,CHEM,1311,General Chemistry I,University Core Requirements,42
Geography B.S.,CHEM,1312,General Chemistry II,University Core Requirements,42
Geography B.S.,ENSC,1301,Environmental Science I,University Core Requirements,42
Geography B.S.,ENSC,1302,Environmental Science II,University Core Requirements,42
Geography B.S.,GEOL,1303,Physical Geology,University Core Requirements,42
Geography B.S.,GEOL,1304,Historical Geology,University Core Requirements,42
Art and Design B.F.A. with Grades EC-12 Art Certification,PHYS,2326,University Physics II,University Core Requirements,42
Art and Design B.F.A. with Grades EC-12 Art Certification,HUMN,1301,Humanities,University Core Requirements,42
Art and Design B.F.A. with Grades EC-12 Art Certification,LITR,2341,Literature and Experience,University Core Requirements,42
Art and Design B.F.A. with Grades EC-12 Art Certification,PHIL,1301,Introduction to Philosophy,University Core Requirements,42
Addictions Counseling B.S.,COUN,3303,Counseling Skills,Major Requirements,78
Addictions Counseling B.S.,COUN,3304,Group Therapy,Major Requirements,78
Addictions Counseling B.S.,COUN,3305,Diagnostics & Assessments,Major Requirements,78
Addictions Counseling B.S.,COUN,3306,Career Counseling,Major Requirements,78
Addictions Counseling B.S.,COUN,3307,Stress Management,Major Requirements,78
Addictions Counseling B.S.,COUN,3312,Social and Political Intervention in Addictions Counseling,Major Requirements,78
Fitness and Human Performance B.S.,WRIT,3307,Advanced Writing,College Core Requirements,6
Fitness and Human Performance B.S.,HLTH,2301,Introduction to Exercise Science,Major Requirements,42
Fitness and Human Performance B.S.,HLTH,3301,"Health, Emergency Care and First Aid",Major Requirements,42
Fitness and Human Performance B.S.,HLTH,3303,Nutrition and Weight Management,Major Requirements,42
Fitness and Human Performance B.S.,HLTH,3304,Principles of Physical Fitness,Major Requirements,42
Fitness and Human Performance B.S.,HLTH,3309,Evidence-Based Practice,Major Requirements,42
General Business B.S.,CHEM,1312,General Chemistry II,University Core Requirements,42
General Business B.S.,ENSC,1301,Environmental Science I,University Core Requirements,42
General Business B.S.,ENSC,1302,Environmental Science II,University Core Requirements,42
General Business B.S.,GEOL,1303,Physical Geology,University Core Requirements,42
General Business B.S.,GEOL,1304,Historical Geology,University Core Requirements,42
General Business B.S.,PHYS,1301,College Physics I,University Core Requirements,42
Finance B.S.,PHYS,2325,University Physics I,University Core Requirements,45
Finance B.S.,PHYS,2326,University Physics II,University Core Requirements,45
Finance B.S.,HUMN,1301,Humanities,University Core Requirements,45
Finance B.S.,LITR,2341,Literature and Experience,University Core Requirements,45
Finance B.S.,PHIL,1301,Introduction to Philosophy,University Core Requirements,45
Finance B.S.,WGST,1301,Gender Matters: Introduction to Women's and Gender Studies,University Core Requirements,45
Early Childhood Care and Education B.S.,PSYC,1100,Learning Frameworks,University Core Requirements,42
Early Childhood Care and Education B.S.,ECED,1303,Children and Families,Major Requirements,63
Early Childhood Care and Education B.S.,ECED,1311,Historical and Recent Trends in Early Childhood Education,Major Requirements,63
Early Childhood Care and Education B.S.,ECED,1318,"Nutrition, Health and Safety",Major Requirements,63
Early Childhood Care and Education B.S.,ECED,1354,Developmental Theories of Young Children,Major Requirements,63
Early Childhood Care and Education B.S.,ECED,4303,Child Guidance and Classroom Management for Young Children,Major Requirements,63
Accounting B.S.,GEOL,1303,Physical Geology,University Core Requirements,42
Accounting B.S.,GEOL,1304,Historical Geology,University Core Requirements,42
Accounting B.S.,PHYS,1301,College Physics I,University Core Requirements,42
Accounting B.S.,PHYS,1302,College Physics II,University Core Requirements,42
Accounting B.S.,PHYS,2325,University Physics I,University Core Requirements,42
Accounting B.S.,PHYS,2326,University Physics II,University Core Requirements,42
Art and Design B.F.A.,CHEM,1311,General Chemistry I,University Core Requirements,42
Art and Design B.F.A.,CHEM,1312,General Chemistry II,University Core Requirements,42
Art and Design B.F.A.,ENSC,1301,Environmental Science I,University Core Requirements,42
Art and Design B.F.A.,ENSC,1302,Environmental Science II,University Core Requirements,42
Art and Design B.F.A.,GEOL,1303,Physical Geology,University Core Requirements,42
Art and Design B.F.A.,GEOL,1304,Historical Geology,University Core Requirements,42
Environmental Science B.S.,HIST,1301,United States History I,University Core Requirements,42
Environmental Science B.S.,HIST,1302,United States History II,University Core Requirements,42
