component_code,course_rubric,course_number,TCCNS_rubric,TCCNS_number,course_name,SCH,FICE,school_name
40,CHIN,2311,,,Intermediate Chinese I,3,3607,Alamo Community College District
40,CHIN,2312,,,Intermediate Chinese II,3,3607,Alamo Community College District
40,ENGL,2322,,,British Literature I,3,3607,Alamo Community College District
40,ENGL,2323,,,British Literature II,3,3607,Alamo Community College District
40,ENGL,2327,,,American Literature I,3,3607,Alamo Community College District
40,ENGL,2328,,,American Literature II,3,3607,Alamo Community College District
40,ENGL,2332,,,World Literature I,3,3607,Alamo Community College District
40,ENGL,2333,,,World Literature II,3,3607,Alamo Community College District
40,ENGL,2341,,,Forms of Literature (single-semester course),3,3607,Alamo Community College District
40,ENGL,2342,,,"Forms of Literature I (scheduled for deletion, funding ends August 31, 2019)",3,3607,Alamo Community College District
40,ENGL,2351,,,Mexican American Literature,3,3607,Alamo Community College District
40,FREN,2311,,,Intermediate French I (3rd semester French),3,3607,Alamo Community College District
40,FREN,2312,,,Intermediate French II (4th semester French),3,3607,Alamo Community College District
40,GERM,2311,,,Intermediate German I (3rd semester German),3,3607,Alamo Community College District
40,GERM,2312,,,Intermediate German II (4th semester German),3,3607,Alamo Community College District
40,HIST,2321,,,World Civilizations I,3,3607,Alamo Community College District
40,HIST,2322,,,World Civilizations II,3,3607,Alamo Community College District
40,HUMA,1301,,,Introduction to Humanities I,3,3607,Alamo Community College District
40,HUMA,1302,,,Introduction to Humanities II,3,3607,Alamo Community College District
40,HUMA,1305,,,Introduction to Mexican American Studies,3,3607,Alamo Community College District
40,HUMA,2319,,,American Minority Studies,3,3607,Alamo Community College District
40,HUMA,2323,,,World Cultures,3,3607,Alamo Community College District
40,ITAL,2311,,,Intermediate Italian I (3rd semester Italian),3,3607,Alamo Community College District
40,ITAL,2312,,,Intermediate Italian II (4th semester Italian),3,3607,Alamo Community College District
40,JAPN,2311,,,Intermediate Japanese I (3rd semester Japanese),3,3607,Alamo Community College District
40,JAPN,2312,,,Intermediate Japanese II (4th semester Japanese),3,3607,Alamo Community College District
40,LATI,2311,,,Intermediate Latin I (3rd semester Latin),3,3607,Alamo Community College District
40,LATI,2312,,,Intermediate Latin II (4th semester Latin),3,3607,Alamo Community College District
40,PHIL,1301,,,Introduction to Philosophy,3,3607,Alamo Community College District
40,PHIL,1304,,,Introduction to World Religions,3,3607,Alamo Community College District
40,PHIL,2303,,,Introduction to Formal Logic,3,3607,Alamo Community College District
40,PHIL,2306,,,Introduction to Ethics,3,3607,Alamo Community College District
40,SPAN,2311,,,Intermediate Spanish I (3rd semester Spanish),3,3607,Alamo Community College District
40,SPAN,2312,,,Intermediate Spanish II (4th semester Spanish),3,3607,Alamo Community College District
50,ARCH,1301,,,Architectural History I,3,3607,Alamo Community College District
50,ARCH,1302,,,Architectural History II,3,3607,Alamo Community College District
50,ARCH,1311,,,Introduction to Architecture (3 SCH version),3,3607,Alamo Community College District
50,ARTS,1301,,,Art Appreciation,3,3607,Alamo Community College District
50,ARTS,1303,,,Art History I (Prehistoric to the 14th century),3,3607,Alamo Community College District
50,ARTS,1304,,,Art History II (14th century to the present),3,3607,Alamo Community College District
50,DANC,1305,,,World Dance,3,3607,Alamo Community College District
50,DANC,2303,,,Dance Appreciation,3,3607,Alamo Community College District
50,DRAM,1310,,,Introduction to Theater,3,3607,Alamo Community College District
50,HUMA,1311,,,Mexican American Fine Arts Appreciation,3,3607,Alamo Community College District
50,HUMA,1315,,,Fine Arts Appreciation,3,3607,Alamo Community College District
50,MUSI,1306,,,Music Appreciation,3,3607,Alamo Community College District
50,MUSI,1309,,,"Music Literature II (scheduled for deletion, funding ends August 31, 2019)",3,3607,Alamo Community College District
50,MUSI,1310,,,American Music,3,3607,Alamo Community College District
60,HIST,1301,,,United States History I,3,3607,Alamo Community College District
60,HIST,1302,,,United States History II,3,3607,Alamo Community College District
60,HIST,2301,,,Texas History,3,3607,Alamo Community College District
60,HIST,2327,,,Mexican American History I (to the United States-Mexico War Era),3,3607,Alamo Community College District
60,HIST,2328,,,Mexican American History II (from the United States-Mexico War Era),3,3607,Alamo Community College District
70,GOVT,2305,,,Federal Government (Federal constitution & topics),3,3607,Alamo Community College District
70,GOVT,2306,,,Texas Government (Texas constitution & topics),3,3607,Alamo Community College District
80,ANTH,2302,,,Introduction to Archeology,3,3607,Alamo Community College District
80,ANTH,2351,,,Cultural Anthropology,3,3607,Alamo Community College District
80,COMM,1307,,,Introduction to Mass Communication,3,3607,Alamo Community College District
80,CRIJ,1301,,,Introduction to Criminal Justice,3,3607,Alamo Community College District
80,ECON,1301,,,Introduction to Economics,3,3607,Alamo Community College District
80,ECON,2301,,,Principles of Macroeconomics,3,3607,Alamo Community College District
80,ECON,2302,,,Principles of Microeconomics,3,3607,Alamo Community College District
80,GEOG,1302,,,Human Geography,3,3607,Alamo Community College District
80,GEOG,1303,,,World Regional Geography,3,3607,Alamo Community College District
80,GOVT,2304,,,Introduction to Political Science,3,3607,Alamo Community College District
80,PSYC,2301,,,General Psychology,3,3607,Alamo Community College District
80,PSYC,2306,,,Human Sexuality,3,3607,Alamo Community College District
80,PSYC,2307,,,Adolescent Psychology,3,3607,Alamo Community College District
80,PSYC,2308,,,Child Psychology,3,3607,Alamo Community College District
80,PSYC,2315,,,Psychology of Adjustment,3,3607,Alamo Community College District
80,PSYC,2319,,,Social Psychology,3,3607,Alamo Community College District
80,SOCI,1301,,,Introduction to Sociology,3,3607,Alamo Community College District
80,SOCI,1306,,,Social Problems,3,3607,Alamo Community College District
94,ARAB,2311,,,Intermediate Arabic I,3,3607,Alamo Community College District
94,ARAB,2312,,,Intermediate Arabic II,3,3607,Alamo Community College District
94,CHIN,2311,,,Intermediate Chinese I,3,3607,Alamo Community College District
94,CHIN,2312,,,Intermediate Chinese II,3,3607,Alamo Community College District
94,ENGL,2322,,,British Literature I,3,3607,Alamo Community College District
94,ENGL,2323,,,British Literature II,3,3607,Alamo Community College District
94,ENGL,2327,,,American Literature I,3,3607,Alamo Community College District
94,ENGL,2328,,,American Literature II,3,3607,Alamo Community College District
94,ENGL,2332,,,World Literature I,3,3607,Alamo Community College District
94,ENGL,2333,,,World Literature II,3,3607,Alamo Community College District
94,ENGL,2341,,,Forms of Literature (single-semester course),3,3607,Alamo Community College District
94,ENGL,2342,,,"Forms of Literature I (scheduled for deletion, funding ends August 31, 2019)",3,3607,Alamo Community College District
94,ENGL,2351,,,Mexican American Literature,3,3607,Alamo Community College District
94,FREN,2311,,,Intermediate French I (3rd semester French),3,3607,Alamo Community College District
94,FREN,2312,,,Intermediate French II (4th semester French),3,3607,Alamo Community College District
94,GERM,2311,,,Intermediate German I (3rd semester German),3,3607,Alamo Community College District
94,GERM,2312,,,Intermediate German II (4th semester German),3,3607,Alamo Community College District
94,HIST,2321,,,World Civilizations I,3,3607,Alamo Community College District
94,HIST,2322,,,World Civilizations II,3,3607,Alamo Community College District
94,HUMA,1301,,,Introduction to Humanities I,3,3607,Alamo Community College District
94,HUMA,1302,,,Introduction to Humanities II,3,3607,Alamo Community College District
94,HUMA,1305,,,Introduction to Mexican American Studies,3,3607,Alamo Community College District
94,HUMA,2319,,,American Minority Studies,3,3607,Alamo Community College District
94,HUMA,2323,,,World Cultures,3,3607,Alamo Community College District
94,ITAL,2311,,,Intermediate Italian I (3rd semester Italian),3,3607,Alamo Community College District
94,ITAL,2312,,,Intermediate Italian II (4th semester Italian),3,3607,Alamo Community College District
94,JAPN,2311,,,Intermediate Japanese I (3rd semester Japanese),3,3607,Alamo Community College District
94,JAPN,2312,,,Intermediate Japanese II (4th semester Japanese),3,3607,Alamo Community College District
94,LATI,2311,,,Intermediate Latin I (3rd semester Latin),3,3607,Alamo Community College District
94,LATI,2312,,,Intermediate Latin II (4th semester Latin),3,3607,Alamo Community College District
94,PHIL,1301,,,Introduction to Philosophy,3,3607,Alamo Community College District
94,PHIL,1304,,,Introduction to World Religions,3,3607,Alamo Community College District
94,PHIL,2303,,,Introduction to Formal Logic,3,3607,Alamo Community College District
94,PHIL,2306,,,Introduction to Ethics,3,3607,Alamo Community College District
94,SPAN,2311,,,Intermediate Spanish I (3rd semester Spanish),3,3607,Alamo Community College District
94,SPAN,2312,,,Intermediate Spanish II (4th semester Spanish),3,3607,Alamo Community College District
91,SPCH,1311,,,Introduction to Speech Communication,3,3607,Alamo Community College District
91,SPCH,1315,,,Public Speaking,3,3607,Alamo Community College District
91,SPCH,1318,,,Interpersonal Communication,3,3607,Alamo Community College District
91,SPCH,1321,,,Business & Professional Communication,3,3607,Alamo Community College District
10,ENGL,1301,,,Composition I,3,3539,Alvin Community College
10,ENGL,1302,,,Composition II,3,3539,Alvin Community College
10,ENGL,2311,,,Technical & Business Writing (single-semester course),3,3539,Alvin Community College
20,MATH,1314,,,College Algebra (3 SCH version),3,3539,Alvin Community College
20,MATH,1324,,,Mathematics for Business & Social Sciences,3,3539,Alvin Community College
20,MATH,1325,,,Calculus for Business & Social Sciences (3 SCH version),3,3539,Alvin Community College
20,MATH,1332,,,Contemporary Mathematics (Quantitative Reasoning),3,3539,Alvin Community College
20,MATH,1342,,,"Elementary Statistical Methods (3 SCH version, freshman level)",3,3539,Alvin Community College
20,MATH,1350,,,Mathematics for Teachers I (Fundamentals of Mathematics I),3,3539,Alvin Community College
20,MATH,2412,,,Pre-Calculus Math (4 SCH version),4,3539,Alvin Community College
20,MATH,2413,,,Calculus I (4 SCH version),4,3539,Alvin Community College
20,MATH,2414,,,Calculus II (4 SCH version),4,3539,Alvin Community College
30,ASTR,1403,,,Stars and Galaxies (lecture + lab),4,3539,Alvin Community College
30,ASTR,1404,,,Solar System (lecture + lab),4,3539,Alvin Community College
30,BIOL,1308,,,Biology for Non-Science Majors I (lecture),3,3539,Alvin Community College
30,BIOL,1309,,,Biology for Non-Science Majors II (lecture),3,3539,Alvin Community College
30,BIOL,1406,,,Biology for Science Majors I (lecture + lab),4,3539,Alvin Community College
30,BIOL,1407,,,Biology for Science Majors II (lecture + lab),4,3539,Alvin Community College
30,BIOL,2401,,,Anatomy & Physiology I (lecture + lab),4,3539,Alvin Community College
30,BIOL,2402,,,Anatomy & Physiology II (lecture + lab),4,3539,Alvin Community College
30,CHEM,1405,,,Introductory Chemistry I (lecture + lab),4,3539,Alvin Community College
30,CHEM,1411,,,General Chemistry I (lecture + lab),4,3539,Alvin Community College
30,CHEM,1412,,,General Chemistry II (lecture + lab),4,3539,Alvin Community College
30,CHEM,2423,,,Organic Chemistry I (lecture + lab),4,3539,Alvin Community College
30,CHEM,2425,,,Organic Chemistry II (lecture + lab),4,3539,Alvin Community College
30,GEOL,1301,,,Earth Sciences for Non-Science Majors I (lecture),3,3539,Alvin Community College
30,GEOL,1303,,,Physical Geology (lecture),3,3539,Alvin Community College
30,GEOL,1401,,,Earth Sciences for Non-Science Majors  I (lecture + lab),4,3539,Alvin Community College
30,GEOL,1403,,,Physical Geology (lecture + lab),4,3539,Alvin Community College
30,GEOL,1404,,,Historical Geology (lecture + lab),4,3539,Alvin Community College
30,GEOL,1405,,,Environmental Science (lecture + lab),4,3539,Alvin Community College
30,GEOL,1445,,,Oceanography (lecture + lab),4,3539,Alvin Community College
30,GEOL,1447,,,Meteorology (lecture + lab),4,3539,Alvin Community College
30,PHYS,1301,,,College Physics I (lecture),3,3539,Alvin Community College
30,PHYS,1401,,,College Physics I (lecture + lab),4,3539,Alvin Community College
30,PHYS,1402,,,College Physics II (lecture + lab),4,3539,Alvin Community College
30,PHYS,1403,,,Stars and Galaxies (lecture + lab),4,3539,Alvin Community College
30,PHYS,1404,,,Solar System (lecture + lab),4,3539,Alvin Community College
30,PHYS,2425,,,University Physics I (lecture + lab),4,3539,Alvin Community College
30,PHYS,2426,,,University Physics II (lecture + lab),4,3539,Alvin Community College
40,COMM,1307,,,Introduction to Mass Communication,3,3539,Alvin Community College
40,ENGL,2322,,,British Literature I,3,3539,Alvin Community College
40,ENGL,2323,,,British Literature II,3,3539,Alvin Community College
40,ENGL,2327,,,American Literature I,3,3539,Alvin Community College
40,ENGL,2328,,,American Literature II,3,3539,Alvin Community College
40,ENGL,2332,,,World Literature I,3,3539,Alvin Community College
40,ENGL,2333,,,World Literature II,3,3539,Alvin Community College
40,FREN,2311,,,Intermediate French I (3rd semester French),3,3539,Alvin Community College
40,FREN,2312,,,Intermediate French II (4th semester French),3,3539,Alvin Community College
40,HUMA,1301,,,Introduction to Humanities I,3,3539,Alvin Community College
40,HUMA,1302,,,Introduction to Humanities II,3,3539,Alvin Community College
40,PHIL,1301,,,Introduction to Philosophy,3,3539,Alvin Community College
40,PHIL,1304,,,Introduction to World Religions,3,3539,Alvin Community College
40,PHIL,2306,,,Introduction to Ethics,3,3539,Alvin Community College
40,SPAN,2311,,,Intermediate Spanish I (3rd semester Spanish),3,3539,Alvin Community College
40,SPAN,2312,,,Intermediate Spanish II (4th semester Spanish),3,3539,Alvin Community College
40,SPAN,2313,,,Spanish for Native/Heritage Speakers I,3,3539,Alvin Community College
40,SPAN,2315,,,Spanish for Native/Heritage Speakers II,3,3539,Alvin Community College
50,ARTS,1301,,,Art Appreciation,3,3539,Alvin Community College
50,ARTS,1303,,,Art History I (Prehistoric to the 14th century),3,3539,Alvin Community College
50,ARTS,1304,,,Art History II (14th century to the present),3,3539,Alvin Community College
50,COMM,2366,,,Introduction to Cinema,3,3539,Alvin Community College
50,DRAM,1310,,,Introduction to Theater,3,3539,Alvin Community College
50,DRAM,2362,,,History of the Theater II,3,3539,Alvin Community College
50,DRAM,2366,,,Introduction to Cinema,3,3539,Alvin Community College
50,MUSI,1306,,,Music Appreciation,3,3539,Alvin Community College
50,MUSI,1307,,,Music Literature (single-semester course),3,3539,Alvin Community College
50,MUSI,1308,,,"Music Literature I (scheduled for deletion, funding ends August 31, 2019)",3,3539,Alvin Community College
50,MUSI,1309,,,"Music Literature II (scheduled for deletion, funding ends August 31, 2019)",3,3539,Alvin Community College
50,MUSI,1310,,,American Music,3,3539,Alvin Community College
60,HIST,1301,,,United States History I,3,3539,Alvin Community College
60,HIST,1302,,,United States History II,3,3539,Alvin Community College
60,HIST,2301,,,Texas History,3,3539,Alvin Community College
60,HIST,2327,,,Mexican American History I (to the United States-Mexico War Era),3,3539,Alvin Community College
60,HIST,2328,,,Mexican American History II (from the United States-Mexico War Era),3,3539,Alvin Community College
70,GOVT,2305,,,Federal Government (Federal constitution & topics),3,3539,Alvin Community College
70,GOVT,2306,,,Texas Government (Texas constitution & topics),3,3539,Alvin Community College
80,ECON,2301,,,Principles of Macroeconomics,3,3539,Alvin Community College
80,ECON,2302,,,Principles of Microeconomics,3,3539,Alvin Community College
80,GEOG,1301,,,Physical Geography,3,3539,Alvin Community College
80,GEOG,1303,,,World Regional Geography,3,3539,Alvin Community College
80,PSYC,2301,,,General Psychology,3,3539,Alvin Community College
80,SOCI,1301,,,Introduction to Sociology,3,3539,Alvin Community College
95,ARTS,1301,,,Art Appreciation,3,3539,Alvin Community College
95,ARTS,1303,,,Art History I (Prehistoric to the 14th century),3,3539,Alvin Community College
95,ARTS,1304,,,Art History II (14th century to the present),3,3539,Alvin Community College
93,ASTR,1403,,,Stars and Galaxies (lecture + lab),4,3539,Alvin Community College
93,ASTR,1404,,,Solar System (lecture + lab),4,3539,Alvin Community College
93,BIOL,1308,,,Biology for Non-Science Majors I (lecture),3,3539,Alvin Community College
93,BIOL,1309,,,Biology for Non-Science Majors II (lecture),3,3539,Alvin Community College
93,BIOL,1406,,,Biology for Science Majors I (lecture + lab),4,3539,Alvin Community College
93,BIOL,1407,,,Biology for Science Majors II (lecture + lab),4,3539,Alvin Community College
93,BIOL,2401,,,Anatomy & Physiology I (lecture + lab),4,3539,Alvin Community College
93,BIOL,2402,,,Anatomy & Physiology II (lecture + lab),4,3539,Alvin Community College
93,CHEM,1405,,,Introductory Chemistry I (lecture + lab),4,3539,Alvin Community College
93,CHEM,1411,,,General Chemistry I (lecture + lab),4,3539,Alvin Community College
93,CHEM,1412,,,General Chemistry II (lecture + lab),4,3539,Alvin Community College
93,CHEM,2423,,,Organic Chemistry I (lecture + lab),4,3539,Alvin Community College
93,CHEM,2425,,,Organic Chemistry II (lecture + lab),4,3539,Alvin Community College
94,COMM,1307,,,Introduction to Mass Communication,3,3539,Alvin Community College
95,COMM,2366,,,Introduction to Cinema,3,3539,Alvin Community College
95,DRAM,1310,,,Introduction to Theater,3,3539,Alvin Community College
95,DRAM,2362,,,History of the Theater II,3,3539,Alvin Community College
95,DRAM,2366,,,Introduction to Cinema,3,3539,Alvin Community College
98,ECON,2301,,,Principles of Macroeconomics,3,3539,Alvin Community College
98,ECON,2302,,,Principles of Microeconomics,3,3539,Alvin Community College
91,ENGL,1301,,,Composition I,3,3539,Alvin Community College
91,ENGL,1302,,,Composition II,3,3539,Alvin Community College
91,ENGL,2311,,,Technical & Business Writing (single-semester course),3,3539,Alvin Community College
94,ENGL,2322,,,British Literature I,3,3539,Alvin Community College
94,ENGL,2323,,,British Literature II,3,3539,Alvin Community College
94,ENGL,2327,,,American Literature I,3,3539,Alvin Community College
94,ENGL,2328,,,American Literature II,3,3539,Alvin Community College
94,ENGL,2332,,,World Literature I,3,3539,Alvin Community College
94,ENGL,2333,,,World Literature II,3,3539,Alvin Community College
91,FREN,1411,,,"Beginning French I (1st semester French, 4 SCH version)",4,3539,Alvin Community College
91,FREN,1412,,,"Beginning French II (2nd semester French, 4 SCH version)",4,3539,Alvin Community College
94,FREN,2311,,,Intermediate French I (3rd semester French),3,3539,Alvin Community College
94,FREN,2312,,,Intermediate French II (4th semester French),3,3539,Alvin Community College
98,GEOG,1301,,,Physical Geography,3,3539,Alvin Community College
98,GEOG,1303,,,World Regional Geography,3,3539,Alvin Community College
93,GEOL,1301,,,Earth Sciences for Non-Science Majors I (lecture),3,3539,Alvin Community College
93,GEOL,1303,,,Physical Geology (lecture),3,3539,Alvin Community College
93,GEOL,1401,,,Earth Sciences for Non-Science Majors  I (lecture + lab),4,3539,Alvin Community College
93,GEOL,1403,,,Physical Geology (lecture + lab),4,3539,Alvin Community College
93,GEOL,1404,,,Historical Geology (lecture + lab),4,3539,Alvin Community College
93,GEOL,1405,,,Environmental Science (lecture + lab),4,3539,Alvin Community College
93,GEOL,1445,,,Oceanography (lecture + lab),4,3539,Alvin Community College
93,GEOL,1447,,,Meteorology (lecture + lab),4,3539,Alvin Community College
96,HIST,1301,,,United States History I,3,3539,Alvin Community College
96,HIST,1302,,,United States History II,3,3539,Alvin Community College
96,HIST,2301,,,Texas History,3,3539,Alvin Community College
96,HIST,2327,,,Mexican American History I (to the United States-Mexico War Era),3,3539,Alvin Community College
96,HIST,2328,,,Mexican American History II (from the United States-Mexico War Era),3,3539,Alvin Community College
94,HUMA,1301,,,Introduction to Humanities I,3,3539,Alvin Community College
94,HUMA,1302,,,Introduction to Humanities II,3,3539,Alvin Community College
92,MATH,1314,,,College Algebra (3 SCH version),3,3539,Alvin Community College
92,MATH,1324,,,Mathematics for Business & Social Sciences,3,3539,Alvin Community College
92,MATH,1325,,,Calculus for Business & Social Sciences (3 SCH version),3,3539,Alvin Community College
92,MATH,1332,,,Contemporary Mathematics (Quantitative Reasoning),3,3539,Alvin Community College
92,MATH,1342,,,"Elementary Statistical Methods (3 SCH version, freshman level)",3,3539,Alvin Community College
92,MATH,1350,,,Mathematics for Teachers I (Fundamentals of Mathematics I),3,3539,Alvin Community College
92,MATH,2412,,,Pre-Calculus Math (4 SCH version),4,3539,Alvin Community College
92,MATH,2413,,,Calculus I (4 SCH version),4,3539,Alvin Community College
92,MATH,2414,,,Calculus II (4 SCH version),4,3539,Alvin Community College
95,MUSI,1306,,,Music Appreciation,3,3539,Alvin Community College
95,MUSI,1307,,,Music Literature (single-semester course),3,3539,Alvin Community College
95,MUSI,1308,,,"Music Literature I (scheduled for deletion, funding ends August 31, 2019)",3,3539,Alvin Community College
95,MUSI,1309,,,"Music Literature II (scheduled for deletion, funding ends August 31, 2019)",3,3539,Alvin Community College
95,MUSI,1310,,,American Music,3,3539,Alvin Community College
94,PHIL,1301,,,Introduction to Philosophy,3,3539,Alvin Community College
94,PHIL,1304,,,Introduction to World Religions,3,3539,Alvin Community College
94,PHIL,2306,,,Introduction to Ethics,3,3539,Alvin Community College
93,PHYS,1301,,,College Physics I (lecture),3,3539,Alvin Community College
93,PHYS,1401,,,College Physics I (lecture + lab),4,3539,Alvin Community College
93,PHYS,1402,,,College Physics II (lecture + lab),4,3539,Alvin Community College
93,PHYS,1403,,,Stars and Galaxies (lecture + lab),4,3539,Alvin Community College
93,PHYS,1404,,,Solar System (lecture + lab),4,3539,Alvin Community College
93,PHYS,2425,,,University Physics I (lecture + lab),4,3539,Alvin Community College
93,PHYS,2426,,,University Physics II (lecture + lab),4,3539,Alvin Community College
90,PSYC,1300,,,Learning Framework (3 SCH version),3,3539,Alvin Community College
98,PSYC,2301,,,General Psychology,3,3539,Alvin Community College
98,SOCI,1301,,,Introduction to Sociology,3,3539,Alvin Community College
91,SPAN,1411,,,"Beginning Spanish I (1st semester Spanish, 4 SCH version)",4,3539,Alvin Community College
91,SPAN,1412,,,"Beginning Spanish II (2nd semester Spanish, 4 SCH version)",4,3539,Alvin Community College
94,SPAN,2311,,,Intermediate Spanish I (3rd semester Spanish),3,3539,Alvin Community College
94,SPAN,2312,,,Intermediate Spanish II (4th semester Spanish),3,3539,Alvin Community College
94,SPAN,2313,,,Spanish for Native/Heritage Speakers I,3,3539,Alvin Community College
94,SPAN,2315,,,Spanish for Native/Heritage Speakers II,3,3539,Alvin Community College
91,SPCH,1315,,,Public Speaking,3,3539,Alvin Community College
91,SPCH,1318,,,Interpersonal Communication,3,3539,Alvin Community College
91,SPCH,2335,,,Argumentation & Debate,3,3539,Alvin Community College
10,ENGL,1301,,,Composition I,3,3540,Amarillo College
10,ENGL,1302,,,Composition II,3,3540,Amarillo College
10,ENGL,2311,,,Technical & Business Writing (single-semester course),3,3540,Amarillo College
20,MATH,1314,,,College Algebra (3 SCH version),3,3540,Amarillo College
20,MATH,1316,,,Plane Trigonometry,3,3540,Amarillo College
20,MATH,1324,,,Mathematics for Business & Social Sciences,3,3540,Amarillo College
20,MATH,1325,,,Calculus for Business & Social Sciences (3 SCH version),3,3540,Amarillo College
20,MATH,1332,,,Contemporary Mathematics (Quantitative Reasoning),3,3540,Amarillo College
20,MATH,1342,,,"Elementary Statistical Methods (3 SCH version, freshman level)",3,3540,Amarillo College
20,MATH,1414,,,College Algebra (4 SCH version),4,3540,Amarillo College
20,MATH,2413,,,Calculus I (4 SCH version),4,3540,Amarillo College
20,MATH,2414,,,Calculus II (4 SCH version),4,3540,Amarillo College
30,BIOL,1308,,,Biology for Non-Science Majors I (lecture),3,3540,Amarillo College
30,BIOL,1309,,,Biology for Non-Science Majors II (lecture),3,3540,Amarillo College
30,BIOL,1406,,,Biology for Science Majors I (lecture + lab),4,3540,Amarillo College
30,BIOL,1407,,,Biology for Science Majors II (lecture + lab),4,3540,Amarillo College
30,BIOL,1408,,,Biology for Non-Science Majors I (lecture + lab),4,3540,Amarillo College
30,BIOL,1409,,,Biology for Non-Science Majors II (lecture + lab),4,3540,Amarillo College
30,BIOL,1411,,,General Botany (lecture + lab),4,3540,Amarillo College
30,BIOL,1413,,,General Zoology (lecture + lab),4,3540,Amarillo College
30,BIOL,2306,,,Environmental Biology (lecture),3,3540,Amarillo College
