degree name,course id,course name,component area,guidance,component guidance,requirement area
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,WRIT 3304,Writing for Education Credit Hours: 3,College of Human Sciences and Humanities Core Requirements 6 hours,"48 hours of upper-level credit must be a ""B-"" or better.",Choose ONE of the following courses.,Core Requirement 3 hours
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,WRIT 3306,Writing for the Social Sciences Credit Hours: 3,College of Human Sciences and Humanities Core Requirements 6 hours,"48 hours of upper-level credit must be a ""B-"" or better.",Choose ONE of the following courses.,Core Requirement 3 hours
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,WRIT 3307,Advanced Writing Credit Hours: 3,College of Human Sciences and Humanities Core Requirements 6 hours,"48 hours of upper-level credit must be a ""B-"" or better.",Choose ONE of the following courses.,Core Requirement 3 hours
Fitness and Human Performance B.S.,WRIT 1301,Composition I Credit Hours: 3,University Core Requirements 42 Hours,"The undergraduatemajor in Fitness and Human Performance leads to the Bachelor of Science B.S. degree. Students in this course of study will prepare forcareers in physical therapy, occupational therapy, chiropractic medicine, strength and conditioning, health promotion/corporate wellness, exercise testing, or exercise prescription. Although no specific prerequisite must be met prior to admission to the major, a background in biological and social sciences is strongly recommended. Students interested in the FHP concentrations in Pre-Physical Therapy, Pre-Physician's Assistant, Pre-Occupational Therapy, andPre-Chiropractic Medicine must possess or acquire specific course requirements see the Pre-PT, Pre-PA, Pre-OT, and Pre-DC concentration sections below for further information.",,Communication 6 hours
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,ANTH 3362,"Medicine, Bodies, and Culture Credit Hours: 3",College of Human Sciences and Humanities Core Requirements 6 hours,"48 hours of upper-level credit must be a ""B-"" or better.",Choose ONE of the following courses.,Choose ONE of the following courses.
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,GEOG 4301,Urban Geography Credit Hours: 3,College of Human Sciences and Humanities Core Requirements 6 hours,"48 hours of upper-level credit must be a ""B-"" or better.",Choose ONE of the following courses.,Choose ONE of the following courses.
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,SOCI 4358,Family and Society Credit Hours: 3,College of Human Sciences and Humanities Core Requirements 6 hours,"48 hours of upper-level credit must be a ""B-"" or better.",Choose ONE of the following courses.,Choose ONE of the following courses.
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,EDUC 4310,Theories of Educational Psychology Credit Hours: 3,College of Education Requirements 22 hours,"48 hours of upper-level credit must be a ""B-"" or better.",Choose ONE of the following courses.,Core Requirement
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,INST 3313,Survey of Instructional Technologies Credit Hours: 3,College of Education Requirements 22 hours,"48 hours of upper-level credit must be a ""B-"" or better.",Choose ONE of the following courses.,Core Requirement
Art and Design B.F.A. with Grades EC-12 Art Certification,WRIT 1301,Composition I Credit Hours: 3,University Core Requirements 42 Hours,The B.F.A. in Art and Design with EC-12 Art Certification leads to a B.F.A. in Art and Design. The teacher certification prepares students to teach art at any level from early childhood through high school.,,Communication 6 hours
Fitness and Human Performance B.S.,WRIT 1302,Composition II Credit Hours: 3,University Core Requirements 42 Hours,"The undergraduatemajor in Fitness and Human Performance leads to the Bachelor of Science B.S. degree. Students in this course of study will prepare forcareers in physical therapy, occupational therapy, chiropractic medicine, strength and conditioning, health promotion/corporate wellness, exercise testing, or exercise prescription. Although no specific prerequisite must be met prior to admission to the major, a background in biological and social sciences is strongly recommended. Students interested in the FHP concentrations in Pre-Physical Therapy, Pre-Physician's Assistant, Pre-Occupational Therapy, andPre-Chiropractic Medicine must possess or acquire specific course requirements see the Pre-PT, Pre-PA, Pre-OT, and Pre-DC concentration sections below for further information.",,Communication 6 hours
Fitness and Human Performance B.S.,MATH 1314,College Algebra Credit Hours: 3,University Core Requirements 42 Hours,"The undergraduatemajor in Fitness and Human Performance leads to the Bachelor of Science B.S. degree. Students in this course of study will prepare forcareers in physical therapy, occupational therapy, chiropractic medicine, strength and conditioning, health promotion/corporate wellness, exercise testing, or exercise prescription. Although no specific prerequisite must be met prior to admission to the major, a background in biological and social sciences is strongly recommended. Students interested in the FHP concentrations in Pre-Physical Therapy, Pre-Physician's Assistant, Pre-Occupational Therapy, andPre-Chiropractic Medicine must possess or acquire specific course requirements see the Pre-PT, Pre-PA, Pre-OT, and Pre-DC concentration sections below for further information.",,Mathematics 3 hours
Fitness and Human Performance B.S.,BIOL 1306,Biology for Science Majors I Credit Hours: 3,University Core Requirements 42 Hours,"The undergraduatemajor in Fitness and Human Performance leads to the Bachelor of Science B.S. degree. Students in this course of study will prepare forcareers in physical therapy, occupational therapy, chiropractic medicine, strength and conditioning, health promotion/corporate wellness, exercise testing, or exercise prescription. Although no specific prerequisite must be met prior to admission to the major, a background in biological and social sciences is strongly recommended. Students interested in the FHP concentrations in Pre-Physical Therapy, Pre-Physician's Assistant, Pre-Occupational Therapy, andPre-Chiropractic Medicine must possess or acquire specific course requirements see the Pre-PT, Pre-PA, Pre-OT, and Pre-DC concentration sections below for further information.",,Life and Physical Sciences 6 hours
Fitness and Human Performance B.S.,BIOL 1307,Biology for Science Majors II Credit Hours: 3,University Core Requirements 42 Hours,"The undergraduatemajor in Fitness and Human Performance leads to the Bachelor of Science B.S. degree. Students in this course of study will prepare forcareers in physical therapy, occupational therapy, chiropractic medicine, strength and conditioning, health promotion/corporate wellness, exercise testing, or exercise prescription. Although no specific prerequisite must be met prior to admission to the major, a background in biological and social sciences is strongly recommended. Students interested in the FHP concentrations in Pre-Physical Therapy, Pre-Physician's Assistant, Pre-Occupational Therapy, andPre-Chiropractic Medicine must possess or acquire specific course requirements see the Pre-PT, Pre-PA, Pre-OT, and Pre-DC concentration sections below for further information.",,Life and Physical Sciences 6 hours
Fitness and Human Performance B.S.,HUMN 1301,Humanities Credit Hours: 3,University Core Requirements 42 Hours,"The undergraduatemajor in Fitness and Human Performance leads to the Bachelor of Science B.S. degree. Students in this course of study will prepare forcareers in physical therapy, occupational therapy, chiropractic medicine, strength and conditioning, health promotion/corporate wellness, exercise testing, or exercise prescription. Although no specific prerequisite must be met prior to admission to the major, a background in biological and social sciences is strongly recommended. Students interested in the FHP concentrations in Pre-Physical Therapy, Pre-Physician's Assistant, Pre-Occupational Therapy, andPre-Chiropractic Medicine must possess or acquire specific course requirements see the Pre-PT, Pre-PA, Pre-OT, and Pre-DC concentration sections below for further information.",Choose ONE of the following courses.,"Language, Philosophy and Culture 3 hours"
Fitness and Human Performance B.S.,LITR 2341,Literature and Experience Credit Hours: 3,University Core Requirements 42 Hours,"The undergraduatemajor in Fitness and Human Performance leads to the Bachelor of Science B.S. degree. Students in this course of study will prepare forcareers in physical therapy, occupational therapy, chiropractic medicine, strength and conditioning, health promotion/corporate wellness, exercise testing, or exercise prescription. Although no specific prerequisite must be met prior to admission to the major, a background in biological and social sciences is strongly recommended. Students interested in the FHP concentrations in Pre-Physical Therapy, Pre-Physician's Assistant, Pre-Occupational Therapy, andPre-Chiropractic Medicine must possess or acquire specific course requirements see the Pre-PT, Pre-PA, Pre-OT, and Pre-DC concentration sections below for further information.",Choose ONE of the following courses.,"Language, Philosophy and Culture 3 hours"
Fitness and Human Performance B.S.,PHIL 1301,Introduction to Philosophy Credit Hours: 3,University Core Requirements 42 Hours,"The undergraduatemajor in Fitness and Human Performance leads to the Bachelor of Science B.S. degree. Students in this course of study will prepare forcareers in physical therapy, occupational therapy, chiropractic medicine, strength and conditioning, health promotion/corporate wellness, exercise testing, or exercise prescription. Although no specific prerequisite must be met prior to admission to the major, a background in biological and social sciences is strongly recommended. Students interested in the FHP concentrations in Pre-Physical Therapy, Pre-Physician's Assistant, Pre-Occupational Therapy, andPre-Chiropractic Medicine must possess or acquire specific course requirements see the Pre-PT, Pre-PA, Pre-OT, and Pre-DC concentration sections below for further information.",Choose ONE of the following courses.,"Language, Philosophy and Culture 3 hours"
Finance B.S.,WRIT 1301,Composition I Credit Hours: 3,University Core Requirements 45 Hours,The degree in Finance leads to the bachelor of science. A minimum of 57 Upper-Level 33XX and 43XX hours and a total of 120 hours are requiredfor the baccalaureatedegree. A minimumcumulative GPA of 2.0 or higher is required tograduate.,,Communication 6 hours
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,LLLS 4351,Reading in Content Subjects Credit Hours: 3,College of Education Requirements 22 hours,"48 hours of upper-level credit must be a ""B-"" or better.",Choose ONE of the following courses.,Core Requirement
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,SILC 4315,Theories of American Pluralism Credit Hours: 3,College of Education Requirements 22 hours,"48 hours of upper-level credit must be a ""B-"" or better.",Choose ONE of the following courses.,Core Requirement
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,SPED 2301,Introduction to Special Populations Credit Hours: 3,College of Education Requirements 22 hours,"48 hours of upper-level credit must be a ""B-"" or better.",Choose ONE of the following courses.,Core Requirement
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,SPED 4300,Survey of Exceptionalities Credit Hours: 3,College of Education Requirements 22 hours,"48 hours of upper-level credit must be a ""B-"" or better.",Choose ONE of the following courses.,Core Requirement
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,TCED 1301,Exploring Teaching as a Profession Credit Hours: 3,College of Education Requirements 22 hours,"48 hours of upper-level credit must be a ""B-"" or better.",Choose ONE of the following courses.,Core Requirement
Anthropology B.S.,WRIT 1301,Composition I Credit Hours: 3,University Core Requirements 42 Hours,"The Anthropology program emphasizes the study of the whole human being. It is focused on understanding diversity in Houston, the United States, and the world. Through coursework, studentsexplore world cultures and global challenges as well as methods for studying peoples and cultures. Themajor prepares students to be global citizens by promoting skills for engaging responsibly and ethicallyin diverse communities in the United States and globally. In particular, the major fosters a number ofskills, including cross-cultural communication, critical thinking and writing, and qualitative researchand data analysis, which prepare students to respond creatively to the challenges of Houston's diverseand dynamic employment sector. Anthropology students have opportunities for many exciting site visitsto Houston's diverse neighborhoods.",,Communication 6 hours
Art and Design B.F.A. with Grades EC-12 Art Certification,WRIT 1302,Composition II Credit Hours: 3,University Core Requirements 42 Hours,The B.F.A. in Art and Design with EC-12 Art Certification leads to a B.F.A. in Art and Design. The teacher certification prepares students to teach art at any level from early childhood through high school.,,Communication 6 hours
Art and Design B.F.A. with Grades EC-12 Art Certification,MATH 1314,College Algebra Credit Hours: 3,University Core Requirements 42 Hours,The B.F.A. in Art and Design with EC-12 Art Certification leads to a B.F.A. in Art and Design. The teacher certification prepares students to teach art at any level from early childhood through high school.,Choose ONE of the following courses.,Mathematics 3 hours
Art and Design B.F.A. with Grades EC-12 Art Certification,MATH 1332,Contemporary Mathematics Credit Hours: 3,University Core Requirements 42 Hours,The B.F.A. in Art and Design with EC-12 Art Certification leads to a B.F.A. in Art and Design. The teacher certification prepares students to teach art at any level from early childhood through high school.,Choose ONE of the following courses.,Mathematics 3 hours
Art and Design B.F.A. with Grades EC-12 Art Certification,ASTR 1303,Stars and Galaxies Credit Hours: 3,University Core Requirements 42 Hours,The B.F.A. in Art and Design with EC-12 Art Certification leads to a B.F.A. in Art and Design. The teacher certification prepares students to teach art at any level from early childhood through high school.,Choose ONE of the following courses.,Life and Physical Sciences 6 hours
Art and Design B.F.A. with Grades EC-12 Art Certification,ASTR 1304,Solar System Credit Hours: 3,University Core Requirements 42 Hours,The B.F.A. in Art and Design with EC-12 Art Certification leads to a B.F.A. in Art and Design. The teacher certification prepares students to teach art at any level from early childhood through high school.,Choose ONE of the following courses.,Life and Physical Sciences 6 hours
Addictions Counseling B.S.,WRIT 1301,Composition I Credit Hours: 3,University Core Requirements 42 hours:,"The Bachelor of Science in Addictions Counseling is a 120-semester hour degree program that provides the student with a comprehensive understanding of addiction and their effects, along with counseling techniques and methods to prevent relapse. Successful completion of the addictions counseling degree ensures the student has completed the coursework required to graduate and apply for licensure with the Texas State Department of Health Services to become a Licensed Chemical Dependency Counselor.",,Communication 6 hours
Addictions Counseling B.S.,WRIT 1302,Composition II Credit Hours: 3,University Core Requirements 42 hours:,"The Bachelor of Science in Addictions Counseling is a 120-semester hour degree program that provides the student with a comprehensive understanding of addiction and their effects, along with counseling techniques and methods to prevent relapse. Successful completion of the addictions counseling degree ensures the student has completed the coursework required to graduate and apply for licensure with the Texas State Department of Health Services to become a Licensed Chemical Dependency Counselor.",,Communication 6 hours
Fitness and Human Performance B.S.,WGST 1301,Gender Matters: Introduction to Women's and Gender Studies Credit Hours: 3,University Core Requirements 42 Hours,"The undergraduatemajor in Fitness and Human Performance leads to the Bachelor of Science B.S. degree. Students in this course of study will prepare forcareers in physical therapy, occupational therapy, chiropractic medicine, strength and conditioning, health promotion/corporate wellness, exercise testing, or exercise prescription. Although no specific prerequisite must be met prior to admission to the major, a background in biological and social sciences is strongly recommended. Students interested in the FHP concentrations in Pre-Physical Therapy, Pre-Physician's Assistant, Pre-Occupational Therapy, andPre-Chiropractic Medicine must possess or acquire specific course requirements see the Pre-PT, Pre-PA, Pre-OT, and Pre-DC concentration sections below for further information.",Choose ONE of the following courses.,"Language, Philosophy and Culture 3 hours"
Fitness and Human Performance B.S.,ARTS 1303,World Art Survey I Credit Hours: 3,University Core Requirements 42 Hours,"The undergraduatemajor in Fitness and Human Performance leads to the Bachelor of Science B.S. degree. Students in this course of study will prepare forcareers in physical therapy, occupational therapy, chiropractic medicine, strength and conditioning, health promotion/corporate wellness, exercise testing, or exercise prescription. Although no specific prerequisite must be met prior to admission to the major, a background in biological and social sciences is strongly recommended. Students interested in the FHP concentrations in Pre-Physical Therapy, Pre-Physician's Assistant, Pre-Occupational Therapy, andPre-Chiropractic Medicine must possess or acquire specific course requirements see the Pre-PT, Pre-PA, Pre-OT, and Pre-DC concentration sections below for further information.",Choose ONE of the following courses.,Creative Arts 3 Hours
Fitness and Human Performance B.S.,ARTS 1304,World Art Survey II Credit Hours: 3,University Core Requirements 42 Hours,"The undergraduatemajor in Fitness and Human Performance leads to the Bachelor of Science B.S. degree. Students in this course of study will prepare forcareers in physical therapy, occupational therapy, chiropractic medicine, strength and conditioning, health promotion/corporate wellness, exercise testing, or exercise prescription. Although no specific prerequisite must be met prior to admission to the major, a background in biological and social sciences is strongly recommended. Students interested in the FHP concentrations in Pre-Physical Therapy, Pre-Physician's Assistant, Pre-Occupational Therapy, andPre-Chiropractic Medicine must possess or acquire specific course requirements see the Pre-PT, Pre-PA, Pre-OT, and Pre-DC concentration sections below for further information.",Choose ONE of the following courses.,Creative Arts 3 Hours
Fitness and Human Performance B.S.,ARTS 2379,Arts and the Child Credit Hours: 3,University Core Requirements 42 Hours,"The undergraduatemajor in Fitness and Human Performance leads to the Bachelor of Science B.S. degree. Students in this course of study will prepare forcareers in physical therapy, occupational therapy, chiropractic medicine, strength and conditioning, health promotion/corporate wellness, exercise testing, or exercise prescription. Although no specific prerequisite must be met prior to admission to the major, a background in biological and social sciences is strongly recommended. Students interested in the FHP concentrations in Pre-Physical Therapy, Pre-Physician's Assistant, Pre-Occupational Therapy, andPre-Chiropractic Medicine must possess or acquire specific course requirements see the Pre-PT, Pre-PA, Pre-OT, and Pre-DC concentration sections below for further information.",Choose ONE of the following courses.,Creative Arts 3 Hours
Finance B.S.,WRIT 1302,Composition II Credit Hours: 3,University Core Requirements 45 Hours,The degree in Finance leads to the bachelor of science. A minimum of 57 Upper-Level 33XX and 43XX hours and a total of 120 hours are requiredfor the baccalaureatedegree. A minimumcumulative GPA of 2.0 or higher is required tograduate.,,Communication 6 hours
Finance B.S.,MATH 1324,Mathematics for Business and Social Sciences. Credit Hours: 3,University Core Requirements 45 Hours,The degree in Finance leads to the bachelor of science. A minimum of 57 Upper-Level 33XX and 43XX hours and a total of 120 hours are requiredfor the baccalaureatedegree. A minimumcumulative GPA of 2.0 or higher is required tograduate.,Grades must be C- or higher.,Mathematics 6 hours
Finance B.S.,MATH 1325,Calculus for Business and Social Sciences Credit Hours: 3,University Core Requirements 45 Hours,The degree in Finance leads to the bachelor of science. A minimum of 57 Upper-Level 33XX and 43XX hours and a total of 120 hours are requiredfor the baccalaureatedegree. A minimumcumulative GPA of 2.0 or higher is required tograduate.,Grades must be C- or higher.,Mathematics 6 hours
Finance B.S.,ASTR 1303,Stars and Galaxies Credit Hours: 3,University Core Requirements 45 Hours,The degree in Finance leads to the bachelor of science. A minimum of 57 Upper-Level 33XX and 43XX hours and a total of 120 hours are requiredfor the baccalaureatedegree. A minimumcumulative GPA of 2.0 or higher is required tograduate.,Choose two course from the approved list,Life and Physical Sciences 6 hours
Accounting B.S.,WRIT 1301,Composition I Credit Hours: 3,University Core Requirements 42 Hours,A minimum of 57 Upper-Level 33XX and 43XX hours and a total of 120 hours are requiredfor the baccalaureatedegree. A minimumcumulative GPA of 2.0 or higher is required tograduate.,,Communication 6 hours
Accounting B.S.,WRIT 1302,Composition II Credit Hours: 3,University Core Requirements 42 Hours,A minimum of 57 Upper-Level 33XX and 43XX hours and a total of 120 hours are requiredfor the baccalaureatedegree. A minimumcumulative GPA of 2.0 or higher is required tograduate.,,Communication 6 hours
Art and Design B.F.A.,WRIT 1301,Composition I Credit Hours: 3,University Core Requirements 42 Hours,Studio Art requires 45 upper-level hours to be taken from the ARTS rubric.,,Communication 6 hours
Art and Design B.F.A.,WRIT 1302,Composition II Credit Hours: 3,University Core Requirements 42 Hours,Studio Art requires 45 upper-level hours to be taken from the ARTS rubric.,,Communication 6 hours
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,TCED 4102,Secondary 4-8 and 7-12 Content Teacher Seminar Credit Hours: 1,College of Education Requirements 22 hours,"48 hours of upper-level credit must be a ""B-"" or better.",Choose ONE of the following courses.,Core Requirement
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,HLTH 2110,Team Games and Sports Credit Hours: 1,Major Requirements 27 hours,"48 hours of upper-level credit must be a ""B-"" or better.",Choose ONE of the following courses.,Courses
Fitness and Human Performance B.S. with Grades EC-12 Physical Education Certification,HLTH 2113,Individual Games and Sports Credit Hours: 1,Major Requirements 27 hours,"48 hours of upper-level credit must be a ""B-"" or better.",Choose ONE of the following courses.,Courses
Anthropology B.S.,WRIT 1302,Composition II Credit Hours: 3,University Core Requirements 42 Hours,"The Anthropology program emphasizes the study of the whole human being. It is focused on understanding diversity in Houston, the United States, and the world. Through coursework, studentsexplore world cultures and global challenges as well as methods for studying peoples and cultures. Themajor prepares students to be global citizens by promoting skills for engaging responsibly and ethicallyin diverse communities in the United States and globally. In particular, the major fosters a number ofskills, including cross-cultural communication, critical thinking and writing, and qualitative researchand data analysis, which prepare students to respond creatively to the challenges of Houston's diverseand dynamic employment sector. Anthropology students have opportunities for many exciting site visitsto Houston's diverse neighborhoods.",,Communication 6 hours
Anthropology B.S.,MATH 1314,College Algebra Credit Hours: 3,University Core Requirements 42 Hours,"The Anthropology program emphasizes the study of the whole human being. It is focused on understanding diversity in Houston, the United States, and the world. Through coursework, studentsexplore world cultures and global challenges as well as methods for studying peoples and cultures. Themajor prepares students to be global citizens by promoting skills for engaging responsibly and ethicallyin diverse communities in the United States and globally. In particular, the major fosters a number ofskills, including cross-cultural communication, critical thinking and writing, and qualitative researchand data analysis, which prepare students to respond creatively to the challenges of Houston's diverseand dynamic employment sector. Anthropology students have opportunities for many exciting site visitsto Houston's diverse neighborhoods.",Choose ONE of the following courses.,Mathematics 3 hours
Anthropology B.S.,MATH 1332,Contemporary Mathematics Credit Hours: 3,University Core Requirements 42 Hours,"The Anthropology program emphasizes the study of the whole human being. It is focused on understanding diversity in Houston, the United States, and the world. Through coursework, studentsexplore world cultures and global challenges as well as methods for studying peoples and cultures. Themajor prepares students to be global citizens by promoting skills for engaging responsibly and ethicallyin diverse communities in the United States and globally. In particular, the major fosters a number ofskills, including cross-cultural communication, critical thinking and writing, and qualitative researchand data analysis, which prepare students to respond creatively to the challenges of Houston's diverseand dynamic employment sector. Anthropology students have opportunities for many exciting site visitsto Houston's diverse neighborhoods.",Choose ONE of the following courses.,Mathematics 3 hours
Anthropology B.S.,ASTR 1303,Stars and Galaxies Credit Hours: 3,University Core Requirements 42 Hours,"The Anthropology program emphasizes the study of the whole human being. It is focused on understanding diversity in Houston, the United States, and the world. Through coursework, studentsexplore world cultures and global challenges as well as methods for studying peoples and cultures. Themajor prepares students to be global citizens by promoting skills for engaging responsibly and ethicallyin diverse communities in the United States and globally. In particular, the major fosters a number ofskills, including cross-cultural communication, critical thinking and writing, and qualitative researchand data analysis, which prepare students to respond creatively to the challenges of Houston's diverseand dynamic employment sector. Anthropology students have opportunities for many exciting site visitsto Houston's diverse neighborhoods.",Choose TWO of the following courses.,Life and Physical Sciences 6 hours
Geography B.S.,WRIT 1301,Composition I Credit Hours: 3,University Core Requirements 42 Hours,"Please note that the B.S. in Geography curriculum will undergo significant changes for publication in the 2018-2019 catalog. Specifically, the curriculum will shift from general geographyto a more applied degree focused on geographic information systems and geo-spatial analysis. Students are encouraged to contact the Geography program director for more information.",,Communication 6 hours
Art and Design B.F.A. with Grades EC-12 Art Certification,BIOL 1306,Biology for Science Majors I Credit Hours: 3,University Core Requirements 42 Hours,The B.F.A. in Art and Design with EC-12 Art Certification leads to a B.F.A. in Art and Design. The teacher certification prepares students to teach art at any level from early childhood through high school.,Choose ONE of the following courses.,Life and Physical Sciences 6 hours
